"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","00:00:00",3.28,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","02:00:00",1.82,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","04:00:00",2.34,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","06:00:00",1.86,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","08:00:00",2.83,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","10:00:00",4.01,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","12:00:00",10.02,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","14:00:00",12.55,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","16:00:00",13.58,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","18:00:00",13.79,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","20:00:00",10.97,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,25,"2021-03-25","22:00:00",8.86,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","00:00:00",7.96,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","02:00:00",7.84,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","04:00:00",6.83,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","06:00:00",7.62,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","08:00:00",8.67,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","10:00:00",9.36,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","12:00:00",10.61,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","14:00:00",10.96,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","16:00:00",8.96,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","18:00:00",7.53,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","20:00:00",6.26,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,26,"2021-03-26","22:00:00",4.7,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,27,"2021-03-27","00:00:00",4.98,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,27,"2021-03-27","02:00:00",3.75,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,27,"2021-03-27","04:00:00",2.16,"JV"
"Minilog-II-T","354093","Cascumpeque, P.E.I.",12,"B",11,46.79563,63.99395,2021,3,27,"2021-03-27","06:00:00",1.38,"JV"
