"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","00:00:00",3.11,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","02:00:00",1.65,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","04:00:00",2.21,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","06:00:00",1.83,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","08:00:00",3.13,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","10:00:00",7.41,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","12:00:00",12.4,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","14:00:00",15.04,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","16:00:00",18.1,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","18:00:00",15.48,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","20:00:00",11.09,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,25,"2021-03-25","22:00:00",8.8,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","00:00:00",7.82,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","02:00:00",7.77,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","04:00:00",6.68,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","06:00:00",7.74,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","08:00:00",8.97,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","10:00:00",10.63,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","12:00:00",14.46,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","14:00:00",15.04,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","16:00:00",10.38,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","18:00:00",7.85,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","20:00:00",6.38,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,26,"2021-03-26","22:00:00",4.75,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","00:00:00",4.94,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","02:00:00",3.34,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","04:00:00",2.1,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","06:00:00",1.02,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","08:00:00",-0.11,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","10:00:00",-0.49,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","12:00:00",0.14,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","14:00:00",2.33,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","16:00:00",0.79,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","18:00:00",-0.03,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","20:00:00",-1.17,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,27,"2021-03-27","22:00:00",-1.74,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,28,"2021-03-28","00:00:00",-2.03,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,28,"2021-03-28","02:00:00",-2.13,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,28,"2021-03-28","04:00:00",-2.15,"JP"
"Minilog-II-T","350574","Malpeque, P.E.I.",17,"S",2,46.58339,63.61881,2021,3,28,"2021-03-28","06:00:00",-2.18,"JP"
