"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"12:00:00",21.31,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"10:00:00",26.33,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"12:00:00",23.35,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"14:00:00",22.97,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"16:00:00",22.86,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"18:00:00",22.96,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"20:00:00",23.1,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"22:00:00",23.27,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"00:00:00",23.44,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"02:00:00",23.63,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"04:00:00",23.78,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"06:00:00",23.95,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"08:00:00",24.22,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"10:00:00",24.5,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"12:00:00",24.77,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"14:00:00",24.74,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"16:00:00",24.23,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"18:00:00",23.8,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"20:00:00",23.46,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,4,2022-12-04,"22:00:00",23.08,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"00:00:00",22.9,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"02:00:00",22.66,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"04:00:00",22.45,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"06:00:00",22.31,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"08:00:00",22.26,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"10:00:00",29.66,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"12:00:00",25.15,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"14:00:00",25.08,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"16:00:00",24.16,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"18:00:00",23,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"20:00:00",21.4,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,5,2022-12-05,"22:00:00",20.1,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"00:00:00",19.67,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"02:00:00",19.41,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"04:00:00",19.2,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"06:00:00",19.07,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"08:00:00",19.34,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,6,2022-12-06,"10:00:00",22.21,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"02:00:00",20.22,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"04:00:00",19.98,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"06:00:00",19.76,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,12,3,2022-12-03,"08:00:00",19.75,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"10:00:00",18.71,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"12:00:00",18.97,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"14:00:00",19.11,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"16:00:00",19.18,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"18:00:00",19.16,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"20:00:00",18.95,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,13,2022-09-13,"22:00:00",18.95,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,14,2022-09-14,"00:00:00",18.95,"VN2"
"Minilog-II-T","358422","Judique Shoals, N.S.",14,"B",13,45.83786,61.55272,2022,9,14,2022-09-14,"02:00:00",19.07,"VN2"
