recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,00:00:00,13.66,27.13,33.09,1492.95,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,00:29:59,13.63,26.99,32.9,1492.67,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,01:00:00,13.6,27.01,32.91,1492.59,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,01:30:00,13.57,27.11,32.99,1492.6,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,01:59:59,13.51,27.06,32.89,1492.34,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,02:30:00,13.51,27.04,32.86,1492.31,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,03:00:00,13.48,27.04,32.84,1492.21,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,03:29:59,13.48,27.02,32.82,1492.18,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,04:00:00,13.48,27.02,32.82,1492.18,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,04:30:00,13.44,27.04,32.82,1492.1,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,04:59:59,13.41,27.11,32.87,1492.08,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,05:30:00,13.41,27.07,32.82,1492.03,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,06:00:00,13.41,27.04,32.8,1492,collecteur
Star-Oddi DST CT,s11853,"Alberton, PEI",9,B,9,46.7368,63.971,2024,7,10,2024-07-10,06:29:59,13.35,27.16,32.88,1491.93,collecteur
