recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,00:00:00,2.24,25.84,23.52,1446.93,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,00:29:59,2.21,25.84,23.5,1446.76,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,01:00:00,2.21,25.86,23.51,1446.78,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,01:30:00,2.21,25.84,23.5,1446.76,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,01:59:59,2.17,25.86,23.49,1446.61,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,02:30:00,2.13,25.84,23.45,1446.42,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,03:00:00,2.13,25.82,23.43,1446.4,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,03:29:59,2.13,25.79,23.41,1446.35,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,04:00:00,2.09,25.74,23.34,1446.12,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,04:30:00,2.13,25.78,23.39,1446.33,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,04:59:59,2.17,25.78,23.42,1446.5,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,05:30:00,2.17,25.71,23.37,1446.42,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,06:00:00,2.28,25.81,23.52,1447.06,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,06:29:59,2.28,25.89,23.59,1447.17,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,07:00:00,2.21,25.84,23.5,1446.76,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,07:30:00,2.21,25.82,23.49,1446.74,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,07:59:59,2.4,25.87,23.66,1447.66,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,08:30:00,2.47,25.95,23.78,1448.11,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,09:00:00,2.51,25.97,23.82,1448.3,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,09:29:59,2.36,25.99,23.73,1447.64,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,10:00:00,2.21,26,23.63,1446.98,DFO
Star-Oddi DST CT,s11875,"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,1,1,2024-01-01,10:30:00,2.21,25.9,23.55,1446.85,DFO
