recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,00:00:00,0.5,26.83,23.14,1440.35,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,00:29:59,0.5,26.83,23.14,1440.35,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,01:00:00,0.54,26.77,23.13,1440.47,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,01:30:00,0.54,26.76,23.11,1440.44,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,01:59:59,0.62,26.65,23.09,1440.68,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,02:30:00,0.62,26.64,23.07,1440.65,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,03:00:00,0.62,26.65,23.09,1440.68,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,03:29:59,0.62,26.64,23.07,1440.65,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,04:00:00,0.66,26.6,23.07,1440.79,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,04:30:00,0.7,26.57,23.07,1440.93,VU2
Star-Oddi DST CT,s11842,"Cape George, NS",17,B,16,45.87619,61.88717,2024,4,8,2024-04-08,04:59:59,0.66,26.57,23.05,1440.75,VU2
