recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,00:00:00,1.19,28.47,24.92,1445.67,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,00:29:59,1.19,28.43,24.9,1445.62,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,01:00:00,1.19,28.47,24.92,1445.67,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,01:30:00,1.15,28.47,24.9,1445.49,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,01:59:59,1.19,28.47,24.92,1445.67,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,02:30:00,1.19,28.47,24.92,1445.67,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,03:00:00,1.15,28.5,24.92,1445.54,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,03:29:59,1.07,28.61,24.95,1445.31,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,04:00:00,1.07,28.57,24.92,1445.27,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,04:30:00,1.03,28.61,24.92,1445.14,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,04:59:59,1.03,28.64,24.95,1445.18,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,05:30:00,1.03,28.61,24.92,1445.14,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,06:00:00,1.03,28.61,24.92,1445.14,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,06:29:59,1.03,28.61,24.92,1445.14,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,07:00:00,1.03,28.64,24.95,1445.18,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,07:30:00,1.07,28.61,24.95,1445.31,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,07:59:59,1.07,28.61,24.95,1445.31,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,08:30:00,1.11,28.57,24.95,1445.45,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,09:00:00,1.11,28.57,24.95,1445.45,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,09:29:59,1.15,28.54,24.95,1445.58,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,10:00:00,1.19,28.5,24.95,1445.71,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,10:30:00,1.19,28.47,24.92,1445.67,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,10:59:59,1.19,28.5,24.95,1445.71,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,11:30:00,1.23,28.47,24.95,1445.85,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,12:00:00,1.27,28.43,24.95,1445.98,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,12:29:59,1.27,28.43,24.95,1445.98,VU4
Star-Oddi DST CT,s12333,"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,4,8,2024-04-08,13:00:00,1.31,28.43,24.98,1446.16,VU4
