recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,00:00:00,1.33,30.04,26.28,1448.37,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,00:29:59,1.33,30.04,26.28,1448.37,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,01:00:00,1.33,30.08,26.31,1448.43,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,01:30:00,1.29,29.05,25.46,1446.88,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,01:59:59,1.33,29.91,26.18,1448.2,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,02:30:00,1.09,29.88,25.97,1447.08,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,03:00:00,0.93,30.07,26,1446.62,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,03:29:59,0.77,29.87,25.72,1445.63,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,04:00:00,0.73,30.21,25.96,1445.9,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,04:30:00,0.73,30.34,26.06,1446.08,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,04:59:59,0.81,30.05,25.89,1446.05,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,05:30:00,0.81,30.01,25.86,1445.99,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,06:00:00,0.85,30.14,26,1446.36,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,06:29:59,0.81,30.23,26.03,1446.28,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,07:00:00,0.81,30.05,25.89,1446.05,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,07:30:00,0.81,30.4,26.17,1446.51,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,07:59:59,0.85,30.19,26.03,1446.41,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,08:30:00,0.89,30.19,26.07,1446.6,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,09:00:00,0.97,30.03,26,1446.75,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,09:29:59,1.05,29.05,25.28,1445.8,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,10:00:00,1.09,29.92,26,1447.14,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,10:30:00,1.25,29.94,26.14,1447.89,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,10:59:59,1.21,29.98,26.14,1447.76,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,11:30:00,1.17,29.76,25.93,1447.28,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,12:00:00,1.48,29.64,26.08,1448.54,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,12:29:59,1.6,29.83,26.32,1449.32,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,13:00:00,1.76,29.81,26.42,1450,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,13:30:00,1.87,29.07,25.91,1449.54,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,13:59:59,1.95,29.25,26.12,1450.13,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,14:30:00,1.87,29.41,26.19,1449.99,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,15:00:00,1.76,29.51,26.18,1449.61,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,15:29:59,1.64,29.45,26.05,1449,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,16:00:00,1.4,29.45,25.87,1447.95,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,16:30:00,1.36,29.53,25.9,1447.88,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,16:59:59,1.29,29.95,26.18,1448.07,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,17:30:00,1.36,29.62,25.97,1447.99,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,18:00:00,1.4,29.41,25.84,1447.89,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,18:29:59,1.87,29.45,26.22,1450.04,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,19:00:00,1.83,29.53,26.25,1449.97,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,19:30:00,1.83,29.61,26.32,1450.08,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,19:59:59,1.64,30.21,26.66,1450.01,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,20:30:00,1.48,30.23,26.55,1449.34,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,21:00:00,1.44,29.89,26.25,1448.7,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,21:29:59,1.33,29.83,26.11,1448.09,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,22:00:00,1.25,30.41,26.52,1448.51,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,22:30:00,1.21,29.85,26.04,1447.59,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,22:59:59,1.25,29.86,26.07,1447.77,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,8,2024-04-08,23:30:00,1.29,30.46,26.58,1448.75,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,00:00:00,1.44,29.72,26.11,1448.47,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,00:29:59,1.68,30.09,26.59,1450.03,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,01:00:00,1.72,29.55,26.18,1449.48,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,01:30:00,1.8,29.65,26.32,1449.96,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,01:59:59,1.8,29.65,26.32,1449.96,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,02:30:00,1.76,29.6,26.25,1449.72,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,03:00:00,1.68,29.54,26.15,1449.3,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,03:29:59,1.64,29.58,26.15,1449.17,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,04:00:00,1.6,29.61,26.15,1449.04,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,04:30:00,1.48,28.74,25.36,1447.36,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,04:59:59,1.36,30.43,26.62,1449.07,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,05:30:00,1.25,29.99,26.17,1447.94,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,06:00:00,1.17,29.84,26,1447.4,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,06:29:59,1.13,30.1,26.17,1447.56,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,07:00:00,1.13,30.48,26.48,1448.07,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,07:30:00,1.13,30.05,26.14,1447.5,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,07:59:59,1.13,29.06,25.35,1446.18,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,08:30:00,1.17,29.97,26.11,1447.57,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,09:00:00,1.17,29.67,25.87,1447.17,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,09:29:59,1.21,29.89,26.07,1447.64,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,10:00:00,1.17,29.84,26,1447.4,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,10:30:00,1.21,29.81,26,1447.53,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,10:59:59,1.25,30.37,26.48,1448.46,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,11:30:00,1.25,28.96,25.36,1446.58,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,12:00:00,1.29,30.46,26.58,1448.75,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,12:29:59,1.29,28.83,25.29,1446.59,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,13:00:00,1.29,29.56,25.87,1447.56,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,13:30:00,1.29,28.88,25.32,1446.65,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,13:59:59,1.29,29.43,25.77,1447.39,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,14:30:00,1.56,29.48,26.01,1448.69,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,15:00:00,1.44,28.78,25.36,1447.23,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,15:29:59,1.36,29.96,26.24,1448.44,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,16:00:00,1.91,30.04,26.73,1451,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,16:30:00,1.95,30.09,26.8,1451.24,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,16:59:59,1.91,29.33,26.15,1450.06,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,17:30:00,1.83,29.06,25.88,1449.36,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,18:00:00,1.91,28.53,25.5,1449,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,18:29:59,1.83,29.82,26.49,1450.36,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,19:00:00,1.44,29.55,25.97,1448.25,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,19:30:00,1.4,29.58,25.97,1448.12,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,19:59:59,1.4,30.39,26.62,1449.19,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,20:30:00,1.4,30.14,26.42,1448.85,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,21:00:00,1.4,29.92,26.25,1448.57,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,21:29:59,1.4,29.8,26.14,1448.4,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,22:00:00,1.44,29.8,26.18,1448.59,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,22:30:00,1.44,29.84,26.21,1448.64,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,22:59:59,1.48,29.25,25.77,1448.04,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,9,2024-04-09,23:30:00,1.48,29.94,26.32,1448.94,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,10,2024-04-10,00:00:00,1.48,29.89,26.28,1448.88,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,10,2024-04-10,00:29:59,1.72,29.08,25.81,1448.86,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,10,2024-04-10,01:00:00,1.83,29.48,26.22,1449.92,JP
Star-Oddi DST CT,s12335,"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,4,10,2024-04-10,01:30:00,1.87,29.53,26.29,1450.15,JP
