recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,00:00:00,0.24,17.3,15.35,1426.4,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,00:29:59,0.32,17.14,15.25,1426.56,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,01:00:00,0.36,17.2,15.32,1426.83,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,01:30:00,0.36,17.2,15.32,1426.83,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,01:59:59,0.32,17.42,15.48,1426.94,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,02:30:00,0.36,17.48,15.55,1427.21,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,03:00:00,0.36,17.72,15.75,1427.54,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,03:29:59,0.32,17.7,15.72,1427.32,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,04:00:00,0.28,17.73,15.72,1427.16,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,04:30:00,0,17.68,15.55,1425.75,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,04:59:59,-0.21,17.68,15.44,1424.76,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,05:30:00,-0.21,17.63,15.41,1424.7,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,06:00:00,-0.17,17.61,15.41,1424.87,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,06:29:59,-0.17,17.57,15.38,1424.81,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,07:00:00,-0.12,17.63,15.45,1425.09,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,07:30:00,0,17.6,15.48,1425.64,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,07:59:59,0,17.6,15.48,1425.64,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,08:30:00,0,17.6,15.48,1425.64,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,09:00:00,0.04,17.54,15.45,1425.75,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,09:29:59,0.04,17.58,15.48,1425.8,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,10:00:00,0.04,17.54,15.45,1425.75,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,10:30:00,0.08,17.51,15.45,1425.91,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,10:59:59,0.04,17.54,15.45,1425.75,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,11:30:00,0.08,17.51,15.45,1425.91,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,12:00:00,0.16,17.47,15.45,1426.24,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,12:29:59,0.2,17.45,15.45,1426.4,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,13:00:00,0.2,17.45,15.45,1426.4,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,13:30:00,0.24,17.42,15.45,1426.56,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,13:59:59,0.24,17.42,15.45,1426.56,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,14:30:00,0.28,17.36,15.42,1426.67,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,15:00:00,-0.12,17.34,15.21,1424.7,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,15:29:59,-0.17,17.37,15.21,1424.54,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,16:00:00,-0.12,17.26,15.15,1424.59,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,16:30:00,-0.04,17.22,15.15,1424.93,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,16:59:59,0.04,17.05,15.05,1425.09,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,17:30:00,0.12,17.04,15.08,1425.48,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,18:00:00,0.2,17.12,15.18,1425.97,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,18:29:59,0.24,17.1,15.18,1426.13,EB
Star-Oddi DST CT,s12337,"Miscou, NB",15,B,14,48.03061,64.54602,2024,4,8,2024-04-08,19:00:00,0.36,17.07,15.22,1426.67,EB
