recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,00:00:00,16.35,24.71,32.35,1498.82,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,00:29:59,16.32,24.65,32.26,1498.66,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,01:00:00,16.29,24.64,32.22,1498.54,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,01:30:00,16.32,24.6,32.2,1498.59,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,01:59:59,16.38,24.58,32.22,1498.76,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,02:30:00,16.59,24.57,32.36,1499.42,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,03:00:00,16.68,24.53,32.38,1499.66,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,03:29:59,16.68,24.51,32.36,1499.64,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,04:00:00,16.68,24.51,32.36,1499.64,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,04:30:00,16.75,24.49,32.38,1499.8,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,04:59:59,16.78,24.53,32.45,1499.94,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,05:30:00,16.5,24.46,32.17,1499.01,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,06:00:00,16.47,24.5,32.19,1498.96,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,06:29:59,16.35,24.52,32.13,1498.6,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,07:00:00,16.56,24.61,32.39,1499.37,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,07:30:00,16.81,24.64,32.6,1500.17,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,07:59:59,16.9,24.66,32.69,1500.47,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,08:30:00,16.96,24.62,32.69,1500.61,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,09:00:00,16.96,24.64,32.71,1500.63,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,09:29:59,16.99,24.64,32.73,1500.73,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,10:00:00,17.02,24.64,32.76,1500.82,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,10:30:00,16.93,24.64,32.69,1500.54,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,10:59:59,16.87,24.62,32.62,1500.33,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,11:30:00,16.75,24.53,32.43,1499.85,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,12:00:00,16.72,24.55,32.43,1499.78,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,12:29:59,16.81,24.6,32.56,1500.12,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,13:00:00,16.93,24.6,32.64,1500.5,collecteur
Star-Oddi DST CT,s11874,"Nine Mile Creek 2, PEI",7,B,7,46.11194,63.07472,2024,7,5,2024-07-05,13:30:00,16.96,24.6,32.67,1500.59,collecteur
