recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,00:00:00,0.08,28.97,24.51,1441.25,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,00:29:59,0.08,28.95,24.5,1441.22,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,01:00:00,0.08,29,24.53,1441.27,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,01:30:00,0.08,28.97,24.51,1441.25,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,01:59:59,0.08,28.97,24.51,1441.25,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,02:30:00,0.12,28.98,24.54,1441.44,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,03:00:00,0.12,29,24.56,1441.47,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,03:29:59,0.16,28.98,24.58,1441.63,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,04:00:00,0.2,28.97,24.59,1441.8,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,04:30:00,0.2,28.97,24.59,1441.8,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,04:59:59,0.2,28.99,24.61,1441.83,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,05:30:00,0.2,28.97,24.59,1441.8,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,06:00:00,0.16,28.98,24.58,1441.63,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,06:29:59,0.08,29,24.53,1441.27,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,07:00:00,0.08,28.95,24.5,1441.22,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,07:30:00,0.08,28.97,24.51,1441.25,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,07:59:59,0.04,29.01,24.51,1441.11,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,08:30:00,0.04,29.01,24.51,1441.11,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,09:00:00,0.04,28.99,24.5,1441.08,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,09:29:59,0,28.99,24.46,1440.89,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,10:00:00,0,29.03,24.49,1440.94,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,10:30:00,0,29.01,24.48,1440.91,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,10:59:59,0,29.01,24.48,1440.91,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,11:30:00,0.04,28.97,24.48,1441.05,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,12:00:00,0.08,28.95,24.5,1441.22,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,12:29:59,0.08,29,24.53,1441.27,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,13:00:00,0.12,28.96,24.53,1441.41,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,13:30:00,0.08,28.97,24.51,1441.25,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,13:59:59,0.12,28.96,24.53,1441.41,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,14:30:00,0.12,28.98,24.54,1441.44,DS
Star-Oddi DST CT,s11191,"North Cape, PEI",18,B,17,47.08333,64.00083,2024,4,1,2024-04-01,15:00:00,0.16,28.92,24.53,1441.55,DS
