recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,00:00:00,0.24,28.88,24.55,1441.86,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,00:29:59,0.24,28.88,24.55,1441.86,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,01:00:00,0.24,28.97,24.62,1441.98,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,01:30:00,0.24,28.97,24.62,1441.98,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,01:59:59,0.24,29.01,24.66,1442.04,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,02:30:00,0.24,28.88,24.55,1441.86,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,03:00:00,0.24,28.97,24.62,1441.98,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,03:29:59,0.24,28.97,24.62,1441.98,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,04:00:00,0.28,28.93,24.62,1442.12,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,04:30:00,0.28,28.98,24.66,1442.18,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,04:59:59,0.28,28.93,24.62,1442.12,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,05:30:00,0.28,28.93,24.62,1442.12,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,06:00:00,0.28,28.89,24.59,1442.06,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,06:29:59,0.28,28.89,24.59,1442.06,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,07:00:00,0.28,28.89,24.59,1442.06,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,07:30:00,0.28,28.84,24.56,1442,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,07:59:59,0.28,28.84,24.56,1442,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,08:30:00,0.32,28.8,24.56,1442.14,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,09:00:00,0.32,28.8,24.56,1442.14,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,09:29:59,0.32,28.76,24.52,1442.08,VC
Star-Oddi DST CT,s12338,"Pleasant Bay 2, NS",27,B,26,46.84169,60.80489,2024,4,8,2024-04-08,10:00:00,0.32,28.72,24.49,1442.02,VC
