recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,00:00:00,11.42,26.05,30.22,1483.87,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,00:29:59,11.45,26.05,30.24,1483.98,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,01:00:00,11.51,26.06,30.3,1484.22,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,01:30:00,11.55,26.07,30.34,1484.35,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,01:59:59,11.09,26.08,30.02,1482.76,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,02:30:00,10.9,26.11,29.9,1482.09,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,03:00:00,10.9,26.11,29.9,1482.09,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,03:29:59,10.9,26.11,29.9,1482.09,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,04:00:00,11.16,26.09,30.07,1483,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,04:30:00,11.58,26.05,30.34,1484.44,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,04:59:59,11.87,26.03,30.53,1485.43,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,05:30:00,12.22,26,30.76,1486.63,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,06:00:00,12.22,25.98,30.74,1486.61,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,06:29:59,11.77,26.02,30.45,1485.09,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,07:00:00,11.32,26.07,30.17,1483.55,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,07:30:00,10.61,26.14,29.72,1481.07,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,07:59:59,10.41,26.18,29.61,1480.4,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,08:30:00,10.35,26.19,29.58,1480.17,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,09:00:00,10.38,26.17,29.57,1480.26,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,09:29:59,10.41,26.16,29.59,1480.38,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,10:00:00,10.51,26.16,29.67,1480.74,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,10:30:00,10.61,26.11,29.68,1481.02,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,10:59:59,10.64,26.12,29.72,1481.16,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,11:30:00,10.71,26.11,29.76,1481.38,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,12:00:00,10.74,26.12,29.79,1481.52,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,12:29:59,10.8,26.11,29.83,1481.74,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,13:00:00,10.93,26.09,29.9,1482.18,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,13:30:00,10.61,26.11,29.68,1481.02,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,13:59:59,10.31,26.16,29.52,1480.02,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,14:30:00,10.22,26.16,29.45,1479.66,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,15:00:00,10.31,26.18,29.54,1480.04,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,15:29:59,10.61,26.14,29.72,1481.07,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,16:00:00,11.16,26.07,30.05,1482.98,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,16:30:00,11.16,26.07,30.05,1482.98,collecteur
Star-Oddi DST CT,s11844,"Skinners Pond, PEI",7,B,7,46.94236,64.1868,2024,6,25,2024-06-25,16:59:59,11.13,26.08,30.03,1482.87,collecteur
