recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,00:00:00,1.57,27.77,24.64,1446.46,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,00:29:59,1.57,27.53,24.44,1446.13,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,01:00:00,1.53,27.6,24.47,1446.05,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,01:30:00,1.57,27.57,24.47,1446.18,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,01:59:59,1.57,27.61,24.51,1446.24,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,02:30:00,1.53,27.6,24.47,1446.05,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,03:00:00,1.53,27.6,24.47,1446.05,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,03:29:59,1.53,27.6,24.47,1446.05,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,04:00:00,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,04:30:00,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,04:59:59,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,05:30:00,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,06:00:00,1.53,27.6,24.47,1446.05,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,06:29:59,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,07:00:00,1.53,27.56,24.44,1446,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,07:30:00,1.49,27.51,24.37,1445.75,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,07:59:59,1.53,27.52,24.41,1445.94,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,08:30:00,1.53,27.48,24.37,1445.89,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,09:00:00,1.57,27.44,24.37,1446.02,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,09:29:59,1.57,27.49,24.41,1446.07,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,10:00:00,1.57,27.53,24.44,1446.13,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,10:30:00,1.57,27.53,24.44,1446.13,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,10:59:59,1.57,27.53,24.44,1446.13,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,11:30:00,1.61,27.49,24.44,1446.26,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,12:00:00,1.53,27.52,24.41,1445.94,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,12:29:59,1.53,27.48,24.37,1445.89,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,13:00:00,1.61,27.54,24.47,1446.32,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,13:30:00,1.61,27.37,24.34,1446.1,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,13:59:59,1.64,27.38,24.37,1446.28,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,14:30:00,1.64,27.34,24.34,1446.23,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,15:00:00,1.64,27.34,24.34,1446.23,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,15:29:59,1.64,27.38,24.37,1446.28,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,16:00:00,1.68,27.35,24.38,1446.42,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,16:30:00,1.68,27.35,24.38,1446.42,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,16:59:59,1.72,27.35,24.41,1446.6,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,17:30:00,1.68,27.35,24.38,1446.42,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,18:00:00,1.68,27.35,24.38,1446.42,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,18:29:59,1.68,27.39,24.41,1446.47,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,19:00:00,1.72,27.35,24.41,1446.6,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,19:30:00,1.72,27.35,24.41,1446.6,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,19:59:59,1.72,27.35,24.41,1446.6,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,20:30:00,1.72,27.31,24.38,1446.55,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,21:00:00,1.76,27.28,24.38,1446.68,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,21:29:59,1.76,27.32,24.41,1446.73,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,22:00:00,1.76,27.32,24.41,1446.73,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,22:30:00,1.76,27.36,24.44,1446.79,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,22:59:59,1.76,27.36,24.44,1446.79,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,8,2024-04-08,23:30:00,1.76,27.32,24.41,1446.73,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,9,2024-04-09,00:00:00,1.76,27.32,24.41,1446.73,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,9,2024-04-09,00:29:59,1.72,27.27,24.34,1446.49,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,9,2024-04-09,01:00:00,1.72,27.31,24.38,1446.55,XF
Star-Oddi DST CT,s12343,Strait Crossing 1,15,B,14,46.28342,63.87103,2024,4,9,2024-04-09,01:30:00,1.72,27.35,24.41,1446.6,XF
