Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_354257_20200207_1.vld
Source Device: Minilog-II-T-354257
Study Description: Cap Lumiere UPM 2019
Minilog Initialized: 2019-01-28 10:25:35 (UTC-4)
Study Start Time: 2019-08-11 00:00:00
Study Stop Time: 2020-02-07 08:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-08-11,00:00:00,19.62
2019-08-11,02:00:00,19.56
2019-08-11,04:00:00,19.43
2019-08-11,06:00:00,19.23
2019-08-11,08:00:00,19.03
2019-08-11,10:00:00,19.04
2019-08-11,12:00:00,19.30
2019-08-11,14:00:00,19.70
2019-08-11,16:00:00,20.11
2019-08-11,18:00:00,20.50
2019-08-11,20:00:00,20.75
2019-08-11,22:00:00,19.79
2019-08-12,00:00:00,18.32
2019-08-12,02:00:00,16.92
2019-08-12,04:00:00,16.06
2019-08-12,06:00:00,16.13
2019-08-12,08:00:00,13.50
2019-08-12,10:00:00,14.68
2019-08-12,12:00:00,15.20
2019-08-12,14:00:00,15.36
2019-08-12,16:00:00,15.15
2019-08-12,18:00:00,14.09
2019-08-12,20:00:00,13.53
2019-08-12,22:00:00,13.12
2019-08-13,00:00:00,13.21
2019-08-13,02:00:00,13.21
2019-08-13,04:00:00,13.20
2019-08-13,06:00:00,13.39
2019-08-13,08:00:00,13.43
2019-08-13,10:00:00,13.38
2019-08-13,12:00:00,13.72
2019-08-13,14:00:00,13.88
2019-08-13,16:00:00,14.27
2019-08-13,18:00:00,13.79
2019-08-13,20:00:00,13.83
2019-08-13,22:00:00,13.72
2019-08-14,00:00:00,13.80
2019-08-14,02:00:00,13.86
2019-08-14,04:00:00,13.86
2019-08-14,06:00:00,13.95
2019-08-14,08:00:00,15.03
2019-08-14,10:00:00,14.08
2019-08-14,12:00:00,14.23
2019-08-14,14:00:00,15.06
2019-08-14,16:00:00,14.85
2019-08-14,18:00:00,14.58
2019-08-14,20:00:00,14.60
2019-08-14,22:00:00,14.40
2019-08-15,00:00:00,14.37
2019-08-15,02:00:00,14.57
2019-08-15,04:00:00,14.50
2019-08-15,06:00:00,14.08
2019-08-15,08:00:00,14.15
2019-08-15,10:00:00,14.16
2019-08-15,12:00:00,14.43
2019-08-15,14:00:00,15.49
2019-08-15,16:00:00,15.55
2019-08-15,18:00:00,15.49
2019-08-15,20:00:00,14.84
2019-08-15,22:00:00,15.16
2019-08-16,00:00:00,15.06
2019-08-16,02:00:00,15.28
2019-08-16,04:00:00,15.27
2019-08-16,06:00:00,15.14
2019-08-16,08:00:00,14.55
2019-08-16,10:00:00,24.77
2019-08-16,12:00:00,20.46
2019-08-16,14:00:00,20.25
2019-08-16,16:00:00,20.06
2019-08-16,18:00:00,20.16
2019-08-16,20:00:00,20.60
2019-08-16,22:00:00,20.69
2019-08-17,00:00:00,20.48
2019-08-17,02:00:00,20.42
2019-08-17,04:00:00,20.06
2019-08-17,06:00:00,20.06
2019-08-17,08:00:00,20.20
2019-08-17,10:00:00,20.47
2019-08-17,12:00:00,20.35
2019-08-17,14:00:00,20.45
2019-08-17,16:00:00,20.21
2019-08-17,18:00:00,20.22
2019-08-17,20:00:00,20.36
2019-08-17,22:00:00,20.51
2019-08-18,00:00:00,20.63
2019-08-18,02:00:00,20.57
2019-08-18,04:00:00,20.28
2019-08-18,06:00:00,20.22
2019-08-18,08:00:00,20.31
2019-08-18,10:00:00,20.38
2019-08-18,12:00:00,20.42
2019-08-18,14:00:00,20.35
2019-08-18,16:00:00,20.16
2019-08-18,18:00:00,20.14
2019-08-18,20:00:00,20.25
2019-08-18,22:00:00,20.48
2019-08-19,00:00:00,20.56
2019-08-19,02:00:00,20.45
2019-08-19,04:00:00,20.16
2019-08-19,06:00:00,20.02
2019-08-19,08:00:00,20.09
2019-08-19,10:00:00,20.43
2019-08-19,12:00:00,20.52
2019-08-19,14:00:00,20.45
2019-08-19,16:00:00,20.48
2019-08-19,18:00:00,20.11
2019-08-19,20:00:00,20.25
2019-08-19,22:00:00,20.73
2019-08-20,00:00:00,20.92
2019-08-20,02:00:00,20.75
2019-08-20,04:00:00,20.48
2019-08-20,06:00:00,20.10
2019-08-20,08:00:00,20.18
2019-08-20,10:00:00,20.70
2019-08-20,12:00:00,23.23
2019-08-20,14:00:00,18.55
2019-08-20,16:00:00,21.00
2019-08-20,18:00:00,21.33
2019-08-20,20:00:00,21.02
2019-08-20,22:00:00,19.35
2019-08-21,00:00:00,18.30
2019-08-21,02:00:00,18.18
2019-08-21,04:00:00,19.74
2019-08-21,06:00:00,20.36
2019-08-21,08:00:00,20.08
2019-08-21,10:00:00,19.34
2019-08-21,12:00:00,18.11
2019-08-21,14:00:00,18.19
2019-08-21,16:00:00,19.85
2019-08-21,18:00:00,21.15
2019-08-21,20:00:00,20.90
2019-08-21,22:00:00,20.06
2019-08-22,00:00:00,18.60
2019-08-22,02:00:00,18.32
2019-08-22,04:00:00,19.78
2019-08-22,06:00:00,20.68
2019-08-22,08:00:00,20.54
2019-08-22,10:00:00,20.50
2019-08-22,12:00:00,19.06
2019-08-22,14:00:00,18.54
2019-08-22,16:00:00,20.17
2019-08-22,18:00:00,20.64
2019-08-22,20:00:00,20.61
2019-08-22,22:00:00,19.68
2019-08-23,00:00:00,18.48
2019-08-23,02:00:00,18.05
2019-08-23,04:00:00,19.99
2019-08-23,06:00:00,20.53
2019-08-23,08:00:00,20.74
2019-08-23,10:00:00,20.58
2019-08-23,12:00:00,19.79
2019-08-23,14:00:00,17.03
2019-08-23,16:00:00,17.06
2019-08-23,18:00:00,17.05
2019-08-23,20:00:00,16.83
2019-08-23,22:00:00,16.77
2019-08-24,00:00:00,16.83
2019-08-24,02:00:00,17.05
2019-08-24,04:00:00,17.07
2019-08-24,06:00:00,17.21
2019-08-24,08:00:00,17.29
2019-08-24,10:00:00,17.43
2019-08-24,12:00:00,17.47
2019-08-24,14:00:00,17.95
2019-08-24,16:00:00,18.01
2019-08-24,18:00:00,17.85
2019-08-24,20:00:00,17.61
2019-08-24,22:00:00,17.45
2019-08-25,00:00:00,17.57
2019-08-25,02:00:00,17.94
2019-08-25,04:00:00,17.99
2019-08-25,06:00:00,17.72
2019-08-25,08:00:00,17.44
2019-08-25,10:00:00,17.38
2019-08-25,12:00:00,17.31
2019-08-25,14:00:00,17.42
2019-08-25,16:00:00,17.59
2019-08-25,18:00:00,17.55
2019-08-25,20:00:00,17.45
2019-08-25,22:00:00,17.37
2019-08-26,00:00:00,17.38
2019-08-26,02:00:00,17.68
2019-08-26,04:00:00,17.92
2019-08-26,06:00:00,17.92
2019-08-26,08:00:00,17.66
2019-08-26,10:00:00,17.16
2019-08-26,12:00:00,17.62
2019-08-26,14:00:00,17.56
2019-08-26,16:00:00,17.55
2019-08-26,18:00:00,17.56
2019-08-26,20:00:00,17.55
2019-08-26,22:00:00,17.59
2019-08-27,00:00:00,17.57
2019-08-27,02:00:00,17.56
2019-08-27,04:00:00,17.63
2019-08-27,06:00:00,17.59
2019-08-27,08:00:00,17.61
2019-08-27,10:00:00,17.69
2019-08-27,12:00:00,17.82
2019-08-27,14:00:00,17.84
2019-08-27,16:00:00,17.83
2019-08-27,18:00:00,17.69
2019-08-27,20:00:00,17.64
2019-08-27,22:00:00,17.70
2019-08-28,00:00:00,17.77
2019-08-28,02:00:00,17.73
2019-08-28,04:00:00,17.58
2019-08-28,06:00:00,17.62
2019-08-28,08:00:00,17.61
2019-08-28,10:00:00,17.58
2019-08-28,12:00:00,17.70
2019-08-28,14:00:00,17.80
2019-08-28,16:00:00,17.78
2019-08-28,18:00:00,17.75
2019-08-28,20:00:00,17.79
2019-08-28,22:00:00,17.77
2019-08-29,00:00:00,17.77
2019-08-29,02:00:00,17.77
2019-08-29,04:00:00,17.78
2019-08-29,06:00:00,17.89
2019-08-29,08:00:00,17.89
2019-08-29,10:00:00,17.89
2019-08-29,12:00:00,17.75
2019-08-29,14:00:00,17.82
2019-08-29,16:00:00,17.82
2019-08-29,18:00:00,17.93
2019-08-29,20:00:00,17.92
2019-08-29,22:00:00,17.96
2019-08-30,00:00:00,17.92
2019-08-30,02:00:00,17.84
2019-08-30,04:00:00,17.78
2019-08-30,06:00:00,17.77
2019-08-30,08:00:00,17.91
2019-08-30,10:00:00,21.41
2019-08-30,12:00:00,18.65
2019-08-30,14:00:00,18.63
2019-08-30,16:00:00,18.60
2019-08-30,18:00:00,18.91
2019-08-30,20:00:00,19.01
2019-08-30,22:00:00,18.56
2019-08-31,00:00:00,18.89
2019-08-31,02:00:00,18.85
2019-08-31,04:00:00,18.71
2019-08-31,06:00:00,18.87
2019-08-31,08:00:00,18.27
2019-08-31,10:00:00,18.02
2019-08-31,12:00:00,18.75
2019-08-31,14:00:00,18.87
2019-08-31,16:00:00,18.64
2019-08-31,18:00:00,18.85
2019-08-31,20:00:00,19.07
2019-08-31,22:00:00,18.35
2019-09-01,00:00:00,18.29
2019-09-01,02:00:00,18.89
2019-09-01,04:00:00,18.67
2019-09-01,06:00:00,18.77
2019-09-01,08:00:00,18.38
2019-09-01,10:00:00,18.00
2019-09-01,12:00:00,18.11
2019-09-01,14:00:00,18.95
