Source File: ,,
Source Device: Minilog-II-T-350540
Study Description: Escuminac NB surface X31 2021
Minilog Initialized: -0001--01--01 06:32:31 (UTC+0),,
Study Start Time: 2021-03-25 00:00:00,,
Study Stop Time: 2021-12-04 00:00:00,,
Sample Interval: 00:00:00,,
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2021-03-25,0:00:00,3.2
2021-03-25,2:00:00,1.9
2021-03-25,4:00:00,2.7
2021-03-25,6:00:00,2.4
2021-03-25,8:00:00,3.8
2021-03-25,10:00:00,6.3
2021-03-25,12:00:00,11.5
2021-03-25,14:00:00,14.5
2021-03-25,16:00:00,16.6
2021-03-25,18:00:00,14.8
2021-03-25,20:00:00,10.9
2021-03-25,22:00:00,8.7
2021-03-26,0:00:00,8.1
2021-03-26,2:00:00,8
2021-03-26,4:00:00,6.9
2021-03-26,6:00:00,7.8
2021-03-26,8:00:00,9
2021-03-26,10:00:00,10.2
2021-03-26,12:00:00,12.9
2021-03-26,14:00:00,11.4
2021-03-26,16:00:00,7.5
2021-03-26,18:00:00,6.9
2021-03-26,20:00:00,5.8
2021-03-26,22:00:00,4.4
2021-03-27,0:00:00,5.1
2021-03-27,2:00:00,3.4
2021-03-27,4:00:00,2.2
2021-03-27,6:00:00,1.2
2021-03-27,8:00:00,-0.1
2021-03-27,10:00:00,-0.5
2021-03-27,12:00:00,0.6
2021-03-27,14:00:00,1.8
2021-03-27,16:00:00,0.8
2021-03-27,18:00:00,0
2021-03-27,20:00:00,-0.7
2021-03-27,22:00:00,-1.2
2021-03-28,0:00:00,-1.5
2021-03-28,2:00:00,-1.5
2021-03-28,4:00:00,-1.5
2021-03-28,6:00:00,-1.6
2021-03-28,8:00:00,-1.4
2021-03-28,10:00:00,-0.7
2021-03-28,12:00:00,0.6
2021-03-28,14:00:00,1.4
2021-03-28,16:00:00,0
2021-03-28,18:00:00,1.2
2021-03-28,20:00:00,0.6
2021-03-28,22:00:00,0.7
2021-03-29,0:00:00,0
2021-03-29,2:00:00,0.9
2021-03-29,4:00:00,3.1
2021-03-29,6:00:00,4.2
2021-03-29,8:00:00,7.2
2021-03-29,10:00:00,9.2
2021-03-29,12:00:00,9.3
2021-03-29,14:00:00,5.6
2021-03-29,16:00:00,7.5
2021-03-29,18:00:00,3.8
2021-03-29,20:00:00,2.5
2021-03-29,22:00:00,1.2
2021-03-30,0:00:00,0.7
2021-03-30,2:00:00,-0.5
2021-03-30,4:00:00,-1.3
2021-03-30,6:00:00,-2
2021-03-30,8:00:00,-1.3
2021-03-30,10:00:00,-0.5
2021-03-30,12:00:00,0.6
2021-03-30,14:00:00,2.9
2021-03-30,16:00:00,4
2021-03-30,18:00:00,4.7
2021-03-30,20:00:00,3.3
2021-03-30,22:00:00,0.7
2021-03-31,0:00:00,-0.1
2021-03-31,2:00:00,-0.3
2021-03-31,4:00:00,-0.2
2021-03-31,6:00:00,0.3
2021-03-31,8:00:00,3.9
2021-03-31,10:00:00,6.7
2021-03-31,12:00:00,9.9
2021-03-31,14:00:00,12.8
2021-03-31,16:00:00,15.2
2021-03-31,18:00:00,14.7
2021-03-31,20:00:00,11.7
2021-03-31,22:00:00,8.5
2021-04-01,0:00:00,8.1
2021-04-01,2:00:00,8.1
2021-04-01,4:00:00,8.1
2021-04-01,6:00:00,6.4
2021-04-01,8:00:00,7.1
2021-04-01,10:00:00,9.1
2021-04-01,12:00:00,9.3
2021-04-01,14:00:00,9.2
2021-04-01,16:00:00,10.6
2021-04-01,18:00:00,10.5
2021-04-01,20:00:00,8.8
2021-04-01,22:00:00,9.4
2021-04-02,0:00:00,9.9
2021-04-02,2:00:00,9.8
2021-04-02,4:00:00,8.7
2021-04-02,6:00:00,6
2021-04-02,8:00:00,3.2
2021-04-02,10:00:00,2.7
2021-04-02,12:00:00,0
2021-04-02,14:00:00,-0.3
2021-04-02,16:00:00,-0.8
2021-04-02,18:00:00,-0.5
2021-04-02,20:00:00,-0.2
2021-04-02,22:00:00,0.1
2021-04-03,0:00:00,0.2
2021-04-03,2:00:00,-0.4
2021-04-03,4:00:00,-0.6
2021-04-03,6:00:00,-0.6
2021-04-03,8:00:00,-0.8
2021-04-03,10:00:00,-1.5
2021-04-03,12:00:00,-2
2021-04-03,14:00:00,-1.6
2021-04-03,16:00:00,0.3
2021-04-03,18:00:00,0.5
2021-04-03,20:00:00,0.8
2021-04-03,22:00:00,0.4
2021-04-04,0:00:00,0.4
2021-04-04,2:00:00,-0.2
2021-04-04,4:00:00,-0.1
2021-04-04,6:00:00,-0.2
2021-04-04,8:00:00,0
2021-04-04,10:00:00,-0.1
2021-04-04,12:00:00,-0.1
2021-04-04,14:00:00,-0.1
2021-04-04,16:00:00,-0.1
2021-04-04,18:00:00,-0.1
2021-04-04,20:00:00,0.1
2021-04-04,22:00:00,0.2
2021-04-05,0:00:00,0
2021-04-05,2:00:00,-0.1
2021-04-05,4:00:00,0.1
2021-04-05,6:00:00,0.1
2021-04-05,8:00:00,0.1
2021-04-05,10:00:00,0.2
2021-04-05,12:00:00,0.4
2021-04-05,14:00:00,0.4
2021-04-05,16:00:00,0.5
2021-04-05,18:00:00,0.3
2021-04-05,20:00:00,0.3
2021-04-05,22:00:00,0.2
2021-04-06,0:00:00,0.3
2021-04-06,2:00:00,0.3
2021-04-06,4:00:00,0.5
2021-04-06,6:00:00,0.5
2021-04-06,8:00:00,0.5
2021-04-06,10:00:00,0.5
2021-04-06,12:00:00,0.6
2021-04-06,14:00:00,0.4
2021-04-06,16:00:00,0.4
