recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,00:00:00,6.52,27.19,27.72,1466.74,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,00:29:59,6.83,27.11,27.89,1467.91,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,01:00:00,6.9,27.09,27.92,1468.16,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,01:30:00,7.01,27.08,27.99,1468.56,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,01:59:59,7.14,27.11,28.11,1469.14,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,02:30:00,7.25,27.1,28.18,1469.54,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,03:00:00,7.11,27.1,28.08,1469,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,03:29:59,6.2,27.26,27.56,1465.56,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,04:00:00,6.45,27.21,27.69,1466.48,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,04:30:00,6.16,27.29,27.56,1465.45,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,04:59:59,6.23,27.27,27.59,1465.71,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,05:30:00,6.41,27.24,27.69,1466.38,DFO
Star-Oddi DST CT,s12347,"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,7,18,2024-07-18,06:00:00,6.37,27.23,27.66,1466.23,DFO
