recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,00:00:00,18.12,24.55,33.46,1504.08,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,00:29:59,18.12,24.55,33.46,1504.08,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,01:00:00,18.12,24.55,33.46,1504.08,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,01:30:00,18.06,24.57,33.43,1503.92,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,01:59:59,18.03,24.59,33.43,1503.85,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,02:30:00,18.03,24.59,33.43,1503.85,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,03:00:00,18.06,24.59,33.46,1503.95,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,03:29:59,18.15,24.57,33.51,1504.2,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,04:00:00,18.21,24.58,33.56,1504.38,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,04:30:00,18.24,24.58,33.58,1504.47,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,04:59:59,18.33,24.56,33.63,1504.72,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,05:30:00,18.51,24.58,33.78,1505.27,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,06:00:00,18.65,24.55,33.85,1505.68,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,06:29:59,18.74,24.51,33.87,1505.9,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,07:00:00,18.74,24.53,33.89,1505.93,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,07:30:00,18.8,24.54,33.95,1506.11,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,07:59:59,18.83,24.5,33.92,1506.15,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,08:30:00,18.83,24.52,33.94,1506.17,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,09:00:00,18.89,24.48,33.94,1506.31,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,09:29:59,18.89,24.5,33.97,1506.33,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,10:00:00,18.95,24.49,33.99,1506.49,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,10:30:00,18.98,24.51,34.04,1506.6,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,10:59:59,19.01,24.51,34.07,1506.69,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,11:30:00,19.07,24.5,34.09,1506.85,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,12:00:00,19.13,24.5,34.14,1507.03,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,12:29:59,19.16,24.53,34.2,1507.14,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,13:00:00,19.22,24.51,34.22,1507.3,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,13:30:00,19.25,24.54,34.27,1507.41,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,13:59:59,19.28,24.52,34.27,1507.48,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,14:30:00,19.28,24.52,34.27,1507.48,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,15:00:00,19.31,24.56,34.35,1507.62,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,15:29:59,19.34,24.55,34.35,1507.68,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,16:00:00,19.34,24.61,34.43,1507.76,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,16:30:00,19.37,24.62,34.46,1507.85,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,16:59:59,19.31,24.61,34.41,1507.67,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,17:30:00,19.28,24.61,34.38,1507.58,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,18:00:00,19.28,24.61,34.38,1507.58,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,18:29:59,19.31,24.61,34.41,1507.67,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,19:00:00,19.34,24.61,34.43,1507.76,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,19:30:00,19.28,24.63,34.41,1507.6,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,19:59:59,19.19,24.64,34.36,1507.36,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,20:30:00,19.13,24.63,34.31,1507.18,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,21:00:00,19.07,24.67,34.31,1507.05,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,21:29:59,19.07,24.67,34.31,1507.05,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,22:00:00,19.07,24.65,34.28,1507.02,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,22:30:00,18.36,24.76,33.89,1505.04,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,22:59:59,18.27,24.8,33.87,1504.81,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,12,2024-07-12,23:30:00,18.27,24.8,33.87,1504.81,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,00:00:00,18.27,24.78,33.85,1504.79,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,00:29:59,18.27,24.8,33.87,1504.81,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,01:00:00,18.33,24.8,33.92,1505,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,01:30:00,18.42,24.77,33.94,1505.22,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,01:59:59,18.48,24.77,33.99,1505.41,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,02:30:00,18.54,24.75,34.02,1505.56,collecteur
Star-Oddi DST CT,s11839,"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,7,13,2024-07-13,03:00:00,18.48,24.75,33.97,1505.38,collecteur
