recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,00:00:00,1.2,28.95,25.32,1446.37,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,00:29:59,1.28,28.87,25.32,1446.64,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,01:00:00,1.36,28.84,25.35,1446.94,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,01:30:00,1.36,28.84,25.35,1446.94,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,01:59:59,1.36,28.77,25.29,1446.85,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,02:30:00,1.4,28.67,25.24,1446.9,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,03:00:00,1.4,28.57,25.16,1446.77,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,03:29:59,1.44,28.5,25.14,1446.85,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,04:00:00,1.48,28.44,25.11,1446.94,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,04:30:00,1.52,28.43,25.14,1447.11,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,04:59:59,1.52,28.43,25.14,1447.11,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,05:30:00,1.52,28.43,25.14,1447.11,N8
Star-Oddi DST CT,s12332,"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,4,8,2024-04-08,06:00:00,1.56,28.43,25.17,1447.29,N8
