recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,00:00:00,0.74,26.35,22.93,1440.82,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,00:29:59,0.74,26.35,22.93,1440.82,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,01:00:00,0.74,26.35,22.93,1440.82,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,01:30:00,0.74,26.32,22.9,1440.78,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,01:59:59,0.74,26.35,22.93,1440.82,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,02:30:00,0.74,26.32,22.9,1440.78,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,03:00:00,0.74,26.29,22.88,1440.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,03:29:59,0.74,26.32,22.9,1440.78,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,04:00:00,0.74,26.29,22.88,1440.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,04:30:00,0.74,26.29,22.88,1440.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,04:59:59,0.74,26.29,22.88,1440.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,05:30:00,0.78,26.32,22.93,1440.96,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,06:00:00,0.82,26.29,22.93,1441.1,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,06:29:59,0.82,26.29,22.93,1441.1,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,07:00:00,0.86,26.22,22.9,1441.2,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,07:30:00,0.82,26.25,22.9,1441.06,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,07:59:59,0.82,26.32,22.95,1441.14,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,08:30:00,0.86,26.25,22.93,1441.24,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,09:00:00,0.9,26.28,22.98,1441.46,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,09:29:59,0.9,26.28,22.98,1441.46,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,10:00:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,10:30:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,10:59:59,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,11:30:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,12:00:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,12:29:59,0.98,26.24,23,1441.78,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,13:00:00,0.98,26.21,22.98,1441.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,13:30:00,0.98,26.21,22.98,1441.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,13:59:59,0.98,26.15,22.93,1441.65,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,14:30:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,15:00:00,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,15:29:59,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,16:00:00,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,16:30:00,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,16:59:59,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,17:30:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,18:00:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,18:29:59,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,19:00:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,19:30:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,19:59:59,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,20:30:00,0.94,26.19,22.93,1441.52,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,21:00:00,0.94,26.25,22.98,1441.6,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,21:29:59,0.94,26.22,22.95,1441.56,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,22:00:00,0.98,26.21,22.98,1441.74,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,22:30:00,1.06,26.21,23.03,1442.09,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,22:59:59,1.14,26.17,23.05,1442.41,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,8,2024-04-08,23:30:00,1.02,26.21,23,1441.91,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,9,2024-04-09,00:00:00,0.98,26.18,22.95,1441.7,JP
Star-Oddi DST CT,s12334,"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,4,9,2024-04-09,00:29:59,1.02,26.21,23,1441.91,JP
