recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,00:00:00,15.58,27.93,35.51,1500.15,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,00:29:59,15.61,27.9,35.5,1500.22,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,01:00:00,15.67,27.9,35.55,1500.42,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,01:30:00,15.94,27.88,35.75,1501.26,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,01:59:59,16.61,27.85,36.26,1503.31,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,02:30:00,16.91,27.84,36.49,1504.23,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,03:00:00,16.91,27.82,36.46,1504.2,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,03:29:59,16.88,27.79,36.41,1504.08,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,04:00:00,16.88,27.79,36.41,1504.08,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,04:30:00,16.88,27.77,36.38,1504.05,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,04:59:59,16.88,27.74,36.35,1504.02,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,05:30:00,16.88,27.74,36.35,1504.02,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,06:00:00,16.94,27.75,36.4,1504.21,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,06:29:59,16,27.76,35.66,1501.31,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,07:00:00,14.07,28.13,34.51,1495.49,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,07:30:00,13.57,28.23,34.22,1493.94,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,07:59:59,13.22,28.3,34.02,1492.87,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,08:30:00,13.16,28.3,33.97,1492.66,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,09:00:00,12.94,28.34,33.84,1491.96,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,09:29:59,12.75,28.41,33.75,1491.39,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,10:00:00,12.62,28.44,33.69,1491,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,10:30:00,12.37,28.49,33.54,1490.19,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,10:59:59,12.24,28.53,33.47,1489.79,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,11:30:00,12.31,28.52,33.52,1490,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,12:00:00,12.46,28.5,33.63,1490.53,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,12:29:59,12.69,28.41,33.71,1491.18,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,13:00:00,12.97,28.34,33.86,1492.07,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,13:30:00,13.29,28.27,34.04,1493.05,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,13:59:59,13.47,28.23,34.15,1493.64,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,14:30:00,13.5,28.19,34.12,1493.68,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,15:00:00,13.5,28.16,34.1,1493.66,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,15:29:59,13.5,28.16,34.1,1493.66,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,16:00:00,13.5,28.19,34.12,1493.68,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,16:30:00,13.5,28.19,34.12,1493.68,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,16:59:59,13.54,28.21,34.17,1493.81,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,17:30:00,13.69,28.15,34.23,1494.27,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,18:00:00,13.97,28.2,34.52,1495.27,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,18:29:59,14.96,28.07,35.18,1498.36,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,19:00:00,15.85,28.03,35.84,1501.14,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,19:30:00,16.09,27.98,35.99,1501.85,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,19:59:59,15.97,27.96,35.86,1501.44,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,20:30:00,15.88,27.95,35.78,1501.15,collecteur
Star-Oddi DST CT,s11843,"Nine Mile Creek 1, PEI",8,B,8,46.10592,63.22527,2024,7,5,2024-07-05,21:00:00,15.91,28,35.86,1501.3,collecteur
