recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,00:00:00,0.06,26.95,22.93,1438.44,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,00:29:59,0.06,26.88,22.88,1438.35,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,01:00:00,0.1,26.8,22.84,1438.42,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,01:30:00,0.1,26.75,22.8,1438.36,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,01:59:59,0.06,26.75,22.78,1438.17,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,02:30:00,0.1,26.68,22.75,1438.27,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,03:00:00,0.1,26.67,22.74,1438.25,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,03:29:59,0.1,26.63,22.71,1438.2,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,04:00:00,0.1,26.6,22.69,1438.16,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,04:30:00,0.1,26.68,22.75,1438.27,X25
Star-Oddi DST CT,s11424,"Pointe Sapin, NB",10,B,9,46.97333,64.74389,2024,4,1,2024-04-01,04:59:59,0.1,26.71,22.77,1438.31,X25
