recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,00:00:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,00:29:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,01:00:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,01:30:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,01:59:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,02:30:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,03:00:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,03:29:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,04:00:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,04:30:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,04:59:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,05:30:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,06:00:00,0.15,11.49,10.48,1418.17,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,06:29:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,07:00:00,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,07:30:00,0.23,11.49,10.51,1418.57,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,07:59:59,0.19,11.51,10.51,1418.39,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,08:30:00,0.23,11.49,10.51,1418.57,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,09:00:00,0.23,11.49,10.51,1418.57,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,09:29:59,0.23,11.49,10.51,1418.57,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,10:00:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,10:30:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,10:59:59,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,11:30:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,12:00:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,12:29:59,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,13:00:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,13:30:00,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,13:59:59,0.27,11.48,10.51,1418.74,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,14:30:00,0.31,11.5,10.54,1418.96,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,15:00:00,0.31,11.5,10.54,1418.96,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,15:29:59,0.31,11.5,10.54,1418.96,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,16:00:00,0.31,11.46,10.51,1418.92,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,16:30:00,0.31,11.5,10.54,1418.96,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,16:59:59,0.31,11.53,10.57,1419,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,17:30:00,0.35,11.48,10.54,1419.13,EG
Star-Oddi DST CT,s12340,"Shippagan, NB",18,B,17,47.88728,64.76322,2024,4,8,2024-04-08,18:00:00,0.39,11.53,10.6,1419.4,EG
