recorder,serial.number,site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,month,day,date,time,temperature,salinity.psu,conduct.ms.cm,sound.velocity.m.sec,buoy.id
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,00:00:00,1.1,27.12,23.78,1443.47,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,00:29:59,1.1,27.08,23.76,1443.42,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,01:00:00,1.1,27.08,23.76,1443.42,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,01:30:00,1.06,27.08,23.73,1443.24,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,01:59:59,1.02,27.05,23.67,1443.01,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,02:30:00,0.98,27.08,23.67,1442.88,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,03:00:00,0.98,27.08,23.67,1442.88,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,03:29:59,0.98,27.08,23.67,1442.88,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,04:00:00,0.98,27.12,23.7,1442.92,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,04:30:00,1.02,27.08,23.7,1443.06,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,04:59:59,1.06,27.08,23.73,1443.24,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,05:30:00,1.02,27.08,23.7,1443.06,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,06:00:00,1.02,27.12,23.73,1443.1,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,06:29:59,1.06,27.08,23.73,1443.24,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,07:00:00,1.06,27.05,23.7,1443.19,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,07:30:00,1.06,27.08,23.73,1443.24,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,07:59:59,1.1,27.08,23.76,1443.42,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,08:30:00,1.1,27.08,23.76,1443.42,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,09:00:00,1.14,27.05,23.76,1443.56,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,09:29:59,1.18,27.05,23.78,1443.74,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,10:00:00,1.18,27.05,23.78,1443.74,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,10:30:00,1.18,27.05,23.78,1443.74,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,10:59:59,1.18,27.02,23.76,1443.69,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,11:30:00,1.18,27.02,23.76,1443.69,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,12:00:00,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,12:29:59,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,13:00:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,13:30:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,13:59:59,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,14:30:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,15:00:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,15:29:59,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,16:00:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,16:30:00,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,16:59:59,1.14,27.02,23.73,1443.51,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,17:30:00,1.18,27.02,23.76,1443.69,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,18:00:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,18:29:59,1.22,27.02,23.78,1443.87,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,19:00:00,1.22,27.02,23.78,1443.87,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,19:30:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,19:59:59,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,20:30:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,21:00:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,21:29:59,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,22:00:00,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,22:30:00,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,22:59:59,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,8,2024-04-08,23:30:00,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,00:00:00,1.22,26.95,23.73,1443.78,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,00:29:59,1.22,26.95,23.73,1443.78,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,01:00:00,1.22,26.95,23.73,1443.78,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,01:30:00,1.26,26.95,23.76,1443.96,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,01:59:59,1.26,26.95,23.76,1443.96,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,02:30:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,03:00:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,03:29:59,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,04:00:00,1.22,26.98,23.76,1443.83,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,04:30:00,1.22,26.95,23.73,1443.78,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,04:59:59,1.22,26.95,23.73,1443.78,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,05:30:00,1.18,26.98,23.73,1443.65,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,06:00:00,1.18,26.95,23.7,1443.6,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,06:29:59,1.18,26.95,23.7,1443.6,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,07:00:00,1.1,26.98,23.67,1443.29,NA
Star-Oddi DST CT,s12341,"Souris, PEI",21,B,20,46.32947,62.25658,2024,4,9,2024-04-09,07:30:00,0.98,27.05,23.64,1442.83,NA
