Source File: 
Source Device: -0
Study Description: 
Minilog Initialized: -0001--01--01 06:32:31 (UTC+0)
Study Start Time: 2019-03-25 00:00:00
Study Stop Time: 2019-11-13 14:00:00
Sample Interval: 00:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-03-25,00:00:00,0.5
2019-03-25,02:00:00,-0.9
2019-03-25,04:00:00,-2.4
2019-03-25,06:00:00,-2.8
2019-03-25,08:00:00,-1.8
2019-03-25,10:00:00,1.3
2019-03-25,12:00:00,4.5
2019-03-25,14:00:00,3.9
2019-03-25,16:00:00,5.2
2019-03-25,18:00:00,3.5
2019-03-25,20:00:00,-4.4
2019-03-25,22:00:00,-5.3
2019-03-26,00:00:00,-7.8
2019-03-26,02:00:00,-9.1
2019-03-26,04:00:00,-10.1
2019-03-26,06:00:00,-9.0
2019-03-26,08:00:00,-4.6
2019-03-26,10:00:00,1.0
2019-03-26,12:00:00,2.3
2019-03-26,14:00:00,6.8
2019-03-26,16:00:00,5.0
2019-03-26,18:00:00,9.1
2019-03-26,20:00:00,-4.4
2019-03-26,22:00:00,-7.4
2019-03-27,00:00:00,-6.6
2019-03-27,02:00:00,-7.2
2019-03-27,04:00:00,-8.1
2019-03-27,06:00:00,-7.7
2019-03-27,08:00:00,-3.8
2019-03-27,10:00:00,9.2
2019-03-27,12:00:00,8.7
2019-03-27,14:00:00,14.7
2019-03-27,16:00:00,8.5
2019-03-27,18:00:00,2.8
2019-03-27,20:00:00,-4.0
2019-03-27,22:00:00,-4.8
2019-03-28,00:00:00,-5.3
2019-03-28,02:00:00,-5.6
2019-03-28,04:00:00,-5.3
2019-03-28,06:00:00,-6.5
2019-03-28,08:00:00,-2.4
2019-03-28,10:00:00,5.8
2019-03-28,12:00:00,7.2
2019-03-28,14:00:00,10.0
2019-03-28,16:00:00,9.5
2019-03-28,18:00:00,3.9
2019-03-28,20:00:00,0.2
2019-03-28,22:00:00,-0.2
2019-03-29,00:00:00,0.0
2019-03-29,02:00:00,0.7
2019-03-29,04:00:00,1.1
2019-03-29,06:00:00,2.3
2019-03-29,08:00:00,4.2
2019-03-29,10:00:00,6.7
2019-03-29,12:00:00,9.8
2019-03-29,14:00:00,10.5
2019-03-29,16:00:00,6.6
2019-03-29,18:00:00,5.6
2019-03-29,20:00:00,4.8
2019-03-29,22:00:00,4.4
2019-03-30,00:00:00,3.2
2019-03-30,02:00:00,3.3
2019-03-30,04:00:00,3.0
2019-03-30,06:00:00,0.8
2019-03-30,08:00:00,1.6
2019-03-30,10:00:00,7.8
2019-03-30,12:00:00,12.7
2019-03-30,14:00:00,11.5
2019-03-30,16:00:00,6.2
2019-03-30,18:00:00,2.5
2019-03-30,20:00:00,0.6
2019-03-30,22:00:00,1.6
2019-03-31,00:00:00,1.9
2019-03-31,02:00:00,2.5
2019-03-31,04:00:00,4.8
2019-03-31,06:00:00,4.1
2019-03-31,08:00:00,7.7
2019-03-31,10:00:00,10.9
2019-03-31,12:00:00,12.5
2019-03-31,14:00:00,15.1
2019-03-31,16:00:00,16.0
2019-03-31,18:00:00,9.3
2019-03-31,20:00:00,6.5
2019-03-31,22:00:00,3.4
2019-04-01,00:00:00,4.3
2019-04-01,02:00:00,3.2
2019-04-01,04:00:00,2.2
2019-04-01,06:00:00,6.9
2019-04-01,08:00:00,6.4
2019-04-01,10:00:00,3.6
2019-04-01,12:00:00,3.3
2019-04-01,14:00:00,1.6
2019-04-01,16:00:00,2.1
2019-04-01,18:00:00,2.4
2019-04-01,20:00:00,0.6
2019-04-01,22:00:00,-0.2
2019-04-02,00:00:00,-1.4
2019-04-02,02:00:00,-2.2
2019-04-02,04:00:00,-1.8
2019-04-02,06:00:00,-1.6
2019-04-02,08:00:00,-0.1
