Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_350520_20200217_1.vld
Source Device: Minilog-II-T-350520
Study Description: Cheticamp 2019 (LL)
Minilog Initialized: 2019-03-25 09:10:51 (UTC-3)
Study Start Time: 2019-04-30 00:00:00
Study Stop Time: 2019-12-16 16:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-04-30,00:00:00,1.62
2019-04-30,02:00:00,1.71
2019-04-30,04:00:00,1.63
2019-04-30,06:00:00,1.70
2019-04-30,08:00:00,1.72
2019-04-30,10:00:00,1.64
2019-04-30,12:00:00,1.76
2019-04-30,14:00:00,1.80
2019-04-30,16:00:00,1.79
2019-04-30,18:00:00,1.38
2019-04-30,20:00:00,1.44
2019-04-30,22:00:00,1.63
2019-05-01,00:00:00,1.51
2019-05-01,02:00:00,1.48
2019-05-01,04:00:00,1.56
2019-05-01,06:00:00,1.68
2019-05-01,08:00:00,1.73
2019-05-01,10:00:00,1.71
2019-05-01,12:00:00,1.71
2019-05-01,14:00:00,1.71
2019-05-01,16:00:00,1.74
2019-05-01,18:00:00,1.77
2019-05-01,20:00:00,1.75
2019-05-01,22:00:00,1.72
2019-05-02,00:00:00,1.66
2019-05-02,02:00:00,1.66
2019-05-02,04:00:00,1.67
2019-05-02,06:00:00,1.67
2019-05-02,08:00:00,1.59
2019-05-02,10:00:00,1.54
2019-05-02,12:00:00,1.62
2019-05-02,14:00:00,2.01
2019-05-02,16:00:00,2.14
2019-05-02,18:00:00,2.14
2019-05-02,20:00:00,2.18
2019-05-02,22:00:00,1.96
2019-05-03,00:00:00,1.70
2019-05-03,02:00:00,1.85
2019-05-03,04:00:00,1.89
2019-05-03,06:00:00,1.91
2019-05-03,08:00:00,1.92
2019-05-03,10:00:00,2.17
2019-05-03,12:00:00,2.23
2019-05-03,14:00:00,2.14
2019-05-03,16:00:00,2.24
2019-05-03,18:00:00,2.47
2019-05-03,20:00:00,2.26
2019-05-03,22:00:00,1.93
2019-05-04,00:00:00,2.16
2019-05-04,02:00:00,1.92
2019-05-04,04:00:00,1.89
2019-05-04,06:00:00,2.14
2019-05-04,08:00:00,2.06
2019-05-04,10:00:00,2.24
2019-05-04,12:00:00,2.13
2019-05-04,14:00:00,1.99
2019-05-04,16:00:00,2.08
2019-05-04,18:00:00,2.01
2019-05-04,20:00:00,1.89
2019-05-04,22:00:00,2.39
2019-05-05,00:00:00,2.98
2019-05-05,02:00:00,3.07
2019-05-05,04:00:00,2.83
2019-05-05,06:00:00,2.71
2019-05-05,08:00:00,2.93
2019-05-05,10:00:00,2.45
2019-05-05,12:00:00,2.65
2019-05-05,14:00:00,2.69
2019-05-05,16:00:00,2.94
2019-05-05,18:00:00,2.98
2019-05-05,20:00:00,2.38
2019-05-05,22:00:00,2.13
2019-05-06,00:00:00,1.87
2019-05-06,02:00:00,1.69
2019-05-06,04:00:00,2.23
2019-05-06,06:00:00,2.33
2019-05-06,08:00:00,2.74
2019-05-06,10:00:00,2.76
2019-05-06,12:00:00,2.58
2019-05-06,14:00:00,2.98
2019-05-06,16:00:00,2.87
2019-05-06,18:00:00,3.03
2019-05-06,20:00:00,1.95
2019-05-06,22:00:00,2.58
2019-05-07,00:00:00,3.53
2019-05-07,02:00:00,3.82
2019-05-07,04:00:00,3.62
2019-05-07,06:00:00,3.37
2019-05-07,08:00:00,2.61
2019-05-07,10:00:00,3.31
2019-05-07,12:00:00,2.80
2019-05-07,14:00:00,2.71
2019-05-07,16:00:00,2.68
2019-05-07,18:00:00,2.63
2019-05-07,20:00:00,2.71
2019-05-07,22:00:00,2.34
2019-05-08,00:00:00,2.87
2019-05-08,02:00:00,2.80
2019-05-08,04:00:00,3.07
2019-05-08,06:00:00,3.74
2019-05-08,08:00:00,3.92
2019-05-08,10:00:00,3.85
2019-05-08,12:00:00,2.45
2019-05-08,14:00:00,3.26
2019-05-08,16:00:00,3.41
2019-05-08,18:00:00,4.30
2019-05-08,20:00:00,4.39
2019-05-08,22:00:00,4.28
2019-05-09,00:00:00,4.27
2019-05-09,02:00:00,4.58
2019-05-09,04:00:00,4.37
2019-05-09,06:00:00,3.89
2019-05-09,08:00:00,3.80
2019-05-09,10:00:00,3.37
2019-05-09,12:00:00,3.01
2019-05-09,14:00:00,2.64
2019-05-09,16:00:00,2.56
2019-05-09,18:00:00,1.70
2019-05-09,20:00:00,1.45
2019-05-09,22:00:00,1.67
2019-05-10,00:00:00,1.77
2019-05-10,02:00:00,0.95
2019-05-10,04:00:00,1.61
2019-05-10,06:00:00,1.97
2019-05-10,08:00:00,2.40
2019-05-10,10:00:00,2.48
2019-05-10,12:00:00,2.88
2019-05-10,14:00:00,3.18
2019-05-10,16:00:00,2.65
2019-05-10,18:00:00,3.23
2019-05-10,20:00:00,2.70
2019-05-10,22:00:00,2.22
2019-05-11,00:00:00,3.10
2019-05-11,02:00:00,3.06
2019-05-11,04:00:00,2.86
2019-05-11,06:00:00,2.87
2019-05-11,08:00:00,2.75
2019-05-11,10:00:00,3.15
2019-05-11,12:00:00,3.22
2019-05-11,14:00:00,3.71
2019-05-11,16:00:00,3.68
2019-05-11,18:00:00,2.90
2019-05-11,20:00:00,3.23
2019-05-11,22:00:00,3.13
2019-05-12,00:00:00,3.07
2019-05-12,02:00:00,3.89
2019-05-12,04:00:00,3.87
2019-05-12,06:00:00,3.82
2019-05-12,08:00:00,3.81
2019-05-12,10:00:00,3.23
2019-05-12,12:00:00,2.29
2019-05-12,14:00:00,2.80
2019-05-12,16:00:00,2.47
2019-05-12,18:00:00,2.93
2019-05-12,20:00:00,2.78
2019-05-12,22:00:00,2.86
2019-05-13,00:00:00,3.03
2019-05-13,02:00:00,2.91
2019-05-13,04:00:00,2.93
2019-05-13,06:00:00,2.84
2019-05-13,08:00:00,3.02
2019-05-13,10:00:00,2.55
2019-05-13,12:00:00,2.93
2019-05-13,14:00:00,3.65
2019-05-13,16:00:00,4.10
2019-05-13,18:00:00,4.37
2019-05-13,20:00:00,4.17
2019-05-13,22:00:00,3.38
2019-05-14,00:00:00,3.24
2019-05-14,02:00:00,3.20
2019-05-14,04:00:00,3.62
2019-05-14,06:00:00,3.76
2019-05-14,08:00:00,3.74
2019-05-14,10:00:00,3.95
2019-05-14,12:00:00,4.02
2019-05-14,14:00:00,4.01
2019-05-14,16:00:00,3.87
2019-05-14,18:00:00,4.21
2019-05-14,20:00:00,4.15
2019-05-14,22:00:00,4.26
2019-05-15,00:00:00,4.18
2019-05-15,02:00:00,4.08
2019-05-15,04:00:00,3.98
2019-05-15,06:00:00,2.86
2019-05-15,08:00:00,2.32
2019-05-15,10:00:00,1.56
2019-05-15,12:00:00,1.84
2019-05-15,14:00:00,2.17
2019-05-15,16:00:00,2.34
2019-05-15,18:00:00,2.41
2019-05-15,20:00:00,2.64
2019-05-15,22:00:00,2.55
2019-05-16,00:00:00,2.24
2019-05-16,02:00:00,2.19
2019-05-16,04:00:00,2.55
2019-05-16,06:00:00,2.78
2019-05-16,08:00:00,2.73
2019-05-16,10:00:00,3.20
2019-05-16,12:00:00,3.44
2019-05-16,14:00:00,3.47
2019-05-16,16:00:00,3.51
2019-05-16,18:00:00,3.54
2019-05-16,20:00:00,3.51
2019-05-16,22:00:00,2.65
2019-05-17,00:00:00,2.72
2019-05-17,02:00:00,2.67
2019-05-17,04:00:00,3.17
2019-05-17,06:00:00,3.30
2019-05-17,08:00:00,3.41
2019-05-17,10:00:00,3.56
2019-05-17,12:00:00,3.64
2019-05-17,14:00:00,3.68
2019-05-17,16:00:00,3.66
2019-05-17,18:00:00,3.54
2019-05-17,20:00:00,3.26
2019-05-17,22:00:00,3.28
2019-05-18,00:00:00,3.44
2019-05-18,02:00:00,3.80
2019-05-18,04:00:00,3.66
2019-05-18,06:00:00,3.61
2019-05-18,08:00:00,3.43
2019-05-18,10:00:00,3.25
2019-05-18,12:00:00,3.23
2019-05-18,14:00:00,3.39
2019-05-18,16:00:00,3.37
2019-05-18,18:00:00,3.25
2019-05-18,20:00:00,3.10
2019-05-18,22:00:00,2.62
2019-05-19,00:00:00,2.02
2019-05-19,02:00:00,1.85
2019-05-19,04:00:00,2.21
2019-05-19,06:00:00,2.19
2019-05-19,08:00:00,2.47
2019-05-19,10:00:00,2.41
2019-05-19,12:00:00,2.86
2019-05-19,14:00:00,2.69
2019-05-19,16:00:00,3.31
2019-05-19,18:00:00,3.64
2019-05-19,20:00:00,3.39
2019-05-19,22:00:00,2.90
2019-05-20,00:00:00,2.95
2019-05-20,02:00:00,2.82
2019-05-20,04:00:00,2.57
2019-05-20,06:00:00,2.79
2019-05-20,08:00:00,3.14
2019-05-20,10:00:00,3.61
2019-05-20,12:00:00,3.70
2019-05-20,14:00:00,4.05
2019-05-20,16:00:00,3.60
2019-05-20,18:00:00,3.80
2019-05-20,20:00:00,3.68
2019-05-20,22:00:00,3.45
2019-05-21,00:00:00,3.52
2019-05-21,02:00:00,3.50
2019-05-21,04:00:00,4.19
2019-05-21,06:00:00,4.01
2019-05-21,08:00:00,4.29
2019-05-21,10:00:00,4.32
2019-05-21,12:00:00,3.98
2019-05-21,14:00:00,2.81
2019-05-21,16:00:00,3.33
2019-05-21,18:00:00,2.86
2019-05-21,20:00:00,3.08
2019-05-21,22:00:00,3.53
2019-05-22,00:00:00,3.83
2019-05-22,02:00:00,3.80
2019-05-22,04:00:00,3.53
2019-05-22,06:00:00,1.71
2019-05-22,08:00:00,1.18
2019-05-22,10:00:00,1.11
2019-05-22,12:00:00,1.40
2019-05-22,14:00:00,1.47
2019-05-22,16:00:00,2.09
2019-05-22,18:00:00,2.40
2019-05-22,20:00:00,2.63
2019-05-22,22:00:00,2.84
2019-05-23,00:00:00,2.85
2019-05-23,02:00:00,2.22
2019-05-23,04:00:00,1.23
2019-05-23,06:00:00,2.27
2019-05-23,08:00:00,2.44
2019-05-23,10:00:00,2.65
2019-05-23,12:00:00,2.84
2019-05-23,14:00:00,3.13
2019-05-23,16:00:00,3.14
2019-05-23,18:00:00,3.69
2019-05-23,20:00:00,3.60
2019-05-23,22:00:00,3.48
2019-05-24,00:00:00,3.17
2019-05-24,02:00:00,3.41
2019-05-24,04:00:00,3.44
2019-05-24,06:00:00,3.25
2019-05-24,08:00:00,3.09
2019-05-24,10:00:00,3.12
2019-05-24,12:00:00,2.59
2019-05-24,14:00:00,3.42
2019-05-24,16:00:00,3.62
2019-05-24,18:00:00,3.36
2019-05-24,20:00:00,3.26
2019-05-24,22:00:00,2.81
2019-05-25,00:00:00,1.95
2019-05-25,02:00:00,1.29
2019-05-25,04:00:00,1.07
2019-05-25,06:00:00,1.70
2019-05-25,08:00:00,1.92
2019-05-25,10:00:00,2.70
2019-05-25,12:00:00,2.95
2019-05-25,14:00:00,3.16
2019-05-25,16:00:00,3.01
2019-05-25,18:00:00,3.09
2019-05-25,20:00:00,3.25
2019-05-25,22:00:00,3.68
2019-05-26,00:00:00,3.91
2019-05-26,02:00:00,3.73
2019-05-26,04:00:00,4.02
2019-05-26,06:00:00,4.03
2019-05-26,08:00:00,3.85
2019-05-26,10:00:00,4.22
2019-05-26,12:00:00,4.91
2019-05-26,14:00:00,4.41
2019-05-26,16:00:00,4.07
2019-05-26,18:00:00,5.12
2019-05-26,20:00:00,5.41
2019-05-26,22:00:00,4.88
2019-05-27,00:00:00,4.15
2019-05-27,02:00:00,4.60
2019-05-27,04:00:00,4.84
2019-05-27,06:00:00,5.19
2019-05-27,08:00:00,5.35
2019-05-27,10:00:00,5.20
2019-05-27,12:00:00,5.22
2019-05-27,14:00:00,5.21
2019-05-27,16:00:00,5.09
2019-05-27,18:00:00,4.96
2019-05-27,20:00:00,4.80
2019-05-27,22:00:00,4.43
2019-05-28,00:00:00,4.92
2019-05-28,02:00:00,4.64
2019-05-28,04:00:00,4.58
2019-05-28,06:00:00,4.57
2019-05-28,08:00:00,4.64
2019-05-28,10:00:00,5.26
2019-05-28,12:00:00,5.78
2019-05-28,14:00:00,5.44
2019-05-28,16:00:00,5.31
2019-05-28,18:00:00,5.44
2019-05-28,20:00:00,5.04
2019-05-28,22:00:00,4.65
2019-05-29,00:00:00,5.75
2019-05-29,02:00:00,5.71
2019-05-29,04:00:00,5.67
2019-05-29,06:00:00,5.63
2019-05-29,08:00:00,5.71
2019-05-29,10:00:00,5.74
2019-05-29,12:00:00,5.83
2019-05-29,14:00:00,6.00
2019-05-29,16:00:00,5.71
2019-05-29,18:00:00,5.64
2019-05-29,20:00:00,6.05
2019-05-29,22:00:00,5.83
2019-05-30,00:00:00,6.01
2019-05-30,02:00:00,6.14
2019-05-30,04:00:00,5.87
2019-05-30,06:00:00,5.91
2019-05-30,08:00:00,5.98
2019-05-30,10:00:00,6.03
2019-05-30,12:00:00,6.17
2019-05-30,14:00:00,6.15
2019-05-30,16:00:00,6.12
2019-05-30,18:00:00,6.08
2019-05-30,20:00:00,6.02
2019-05-30,22:00:00,6.34
2019-05-31,00:00:00,6.05
2019-05-31,02:00:00,6.12
2019-05-31,04:00:00,6.03
2019-05-31,06:00:00,6.32
2019-05-31,08:00:00,6.27
2019-05-31,10:00:00,6.43
2019-05-31,12:00:00,6.40
2019-05-31,14:00:00,6.45
2019-05-31,16:00:00,6.55
2019-05-31,18:00:00,6.34
2019-05-31,20:00:00,6.43
2019-05-31,22:00:00,6.50
2019-06-01,00:00:00,6.52
2019-06-01,02:00:00,6.34
2019-06-01,04:00:00,6.42
2019-06-01,06:00:00,6.33
2019-06-01,08:00:00,6.24
2019-06-01,10:00:00,6.23
2019-06-01,12:00:00,6.34
2019-06-01,14:00:00,6.63
2019-06-01,16:00:00,6.25
2019-06-01,18:00:00,6.23
2019-06-01,20:00:00,6.10
2019-06-01,22:00:00,6.01
2019-06-02,00:00:00,5.94
2019-06-02,02:00:00,5.92
2019-06-02,04:00:00,5.94
2019-06-02,06:00:00,5.97
2019-06-02,08:00:00,6.11
2019-06-02,10:00:00,6.44
2019-06-02,12:00:00,6.64
2019-06-02,14:00:00,6.79
2019-06-02,16:00:00,6.82
2019-06-02,18:00:00,5.91
2019-06-02,20:00:00,6.26
2019-06-02,22:00:00,6.07
2019-06-03,00:00:00,6.09
2019-06-03,02:00:00,6.54
2019-06-03,04:00:00,6.20
2019-06-03,06:00:00,6.30
2019-06-03,08:00:00,6.28
2019-06-03,10:00:00,6.57
2019-06-03,12:00:00,6.45
2019-06-03,14:00:00,6.56
2019-06-03,16:00:00,6.63
2019-06-03,18:00:00,6.69
2019-06-03,20:00:00,6.52
2019-06-03,22:00:00,6.16
2019-06-04,00:00:00,6.73
2019-06-04,02:00:00,6.67
2019-06-04,04:00:00,6.69
2019-06-04,06:00:00,6.66
2019-06-04,08:00:00,6.77
2019-06-04,10:00:00,6.91
2019-06-04,12:00:00,6.77
2019-06-04,14:00:00,7.22
2019-06-04,16:00:00,7.31
2019-06-04,18:00:00,7.51
