Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_354254_20191025_1.vld
Source Device: Minilog-II-T-354254
Study Description: Covehead PEI 2019 collector
Minilog Initialized: 2019-01-25 15:37:11 (UTC-4)
Study Start Time: 2019-06-30 00:00:00
Study Stop Time: 2019-10-25 10:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-06-30,00:00:00,19.13
2019-06-30,02:00:00,18.03
2019-06-30,04:00:00,17.19
2019-06-30,06:00:00,16.60
2019-06-30,08:00:00,16.30
2019-06-30,10:00:00,16.31
2019-06-30,12:00:00,16.85
2019-06-30,14:00:00,17.52
2019-06-30,16:00:00,18.49
2019-06-30,18:00:00,19.90
2019-06-30,20:00:00,20.46
2019-06-30,22:00:00,18.94
2019-07-01,00:00:00,17.04
2019-07-01,02:00:00,15.43
2019-07-01,04:00:00,14.21
2019-07-01,06:00:00,13.37
2019-07-01,08:00:00,13.10
2019-07-01,10:00:00,13.35
2019-07-01,12:00:00,13.83
2019-07-01,14:00:00,15.51
2019-07-01,16:00:00,17.44
2019-07-01,18:00:00,16.67
2019-07-01,20:00:00,15.56
2019-07-01,22:00:00,14.55
2019-07-02,00:00:00,13.79
2019-07-02,02:00:00,13.19
2019-07-02,04:00:00,12.81
2019-07-02,06:00:00,12.58
2019-07-02,08:00:00,12.73
2019-07-02,10:00:00,15.79
2019-07-02,12:00:00,27.50
2019-07-02,14:00:00,24.70
2019-07-02,16:00:00,22.37
2019-07-02,18:00:00,17.66
2019-07-02,20:00:00,16.21
2019-07-02,22:00:00,15.64
2019-07-03,00:00:00,15.35
2019-07-03,02:00:00,15.16
2019-07-03,04:00:00,15.05
2019-07-03,06:00:00,14.99
2019-07-03,08:00:00,15.04
2019-07-03,10:00:00,15.14
2019-07-03,12:00:00,15.23
2019-07-03,14:00:00,15.35
2019-07-03,16:00:00,15.82
2019-07-03,18:00:00,16.69
2019-07-03,20:00:00,16.87
2019-07-03,22:00:00,16.87
2019-07-04,00:00:00,16.82
2019-07-04,02:00:00,16.75
2019-07-04,04:00:00,16.69
2019-07-04,06:00:00,16.67
2019-07-04,08:00:00,16.76
2019-07-04,10:00:00,17.12
2019-07-04,12:00:00,17.46
2019-07-04,14:00:00,17.55
2019-07-04,16:00:00,23.30
2019-07-04,18:00:00,27.85
2019-07-04,20:00:00,27.11
2019-07-04,22:00:00,23.34
2019-07-05,00:00:00,20.38
2019-07-05,02:00:00,18.17
2019-07-05,04:00:00,16.76
2019-07-05,06:00:00,16.17
2019-07-05,08:00:00,22.42
2019-07-05,10:00:00,36.54
2019-07-05,12:00:00,33.52
2019-07-05,14:00:00,36.49
2019-07-05,16:00:00,36.43
2019-07-05,18:00:00,36.38
2019-07-05,20:00:00,33.59
2019-07-05,22:00:00,29.68
2019-07-06,00:00:00,26.24
2019-07-06,02:00:00,23.58
2019-07-06,04:00:00,21.78
2019-07-06,06:00:00,20.75
2019-07-06,08:00:00,21.34
2019-07-06,10:00:00,23.28
2019-07-06,12:00:00,29.22
2019-07-06,14:00:00,32.46
2019-07-06,16:00:00,31.39
2019-07-06,18:00:00,29.44
2019-07-06,20:00:00,25.96
2019-07-06,22:00:00,23.08
