Source File: C:\Users\DFO\Desktop\Vemco files\VLD files\East Point Reef NDN 2019.vld
Source Device: Minilog-II-T-352989
Study Description: East Point Reef PEI NDN 2019
Minilog Initialized: 2018-11-23 11:37:05 (UTC-4)
Study Start Time: 2019-03-25 00:00:00
Study Stop Time: 2019-05-17 08:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-03-25,00:00:00,0.92
2019-03-25,02:00:00,-0.42
2019-03-25,04:00:00,-1.26
2019-03-25,06:00:00,-1.75
2019-03-25,08:00:00,-1.61
2019-03-25,10:00:00,0.58
2019-03-25,12:00:00,0.62
2019-03-25,14:00:00,0.26
2019-03-25,16:00:00,-0.05
2019-03-25,18:00:00,-0.84
2019-03-25,20:00:00,-2.17
2019-03-25,22:00:00,-3.27
2019-03-26,00:00:00,-4.43
2019-03-26,02:00:00,-5.82
2019-03-26,04:00:00,-6.90
2019-03-26,06:00:00,-6.64
2019-03-26,08:00:00,0.36
2019-03-26,10:00:00,1.16
2019-03-26,12:00:00,1.16
2019-03-26,14:00:00,0.36
2019-03-26,16:00:00,-0.73
2019-03-26,18:00:00,-1.60
2019-03-26,20:00:00,-2.94
2019-03-26,22:00:00,-4.59
2019-03-27,00:00:00,-4.49
2019-03-27,02:00:00,-4.86
2019-03-27,04:00:00,-5.19
2019-03-27,06:00:00,-5.51
2019-03-27,08:00:00,-2.04
2019-03-27,10:00:00,-1.29
2019-03-27,12:00:00,-1.45
2019-03-27,14:00:00,-0.72
2019-03-27,16:00:00,-2.54
2019-03-27,18:00:00,-3.09
2019-03-27,20:00:00,-3.49
2019-03-27,22:00:00,-3.64
2019-03-28,00:00:00,-3.86
2019-03-28,02:00:00,-4.28
2019-03-28,04:00:00,-4.46
2019-03-28,06:00:00,-4.67
2019-03-28,08:00:00,2.25
2019-03-28,10:00:00,4.84
2019-03-28,12:00:00,5.01
2019-03-28,14:00:00,5.21
2019-03-28,16:00:00,4.73
2019-03-28,18:00:00,2.94
2019-03-28,20:00:00,0.67
2019-03-28,22:00:00,-0.15
2019-03-29,00:00:00,-0.12
2019-03-29,02:00:00,0.39
2019-03-29,04:00:00,0.75
2019-03-29,06:00:00,1.11
2019-03-29,08:00:00,2.36
2019-03-29,10:00:00,5.14
2019-03-29,12:00:00,7.74
2019-03-29,14:00:00,9.03
2019-03-29,16:00:00,7.75
2019-03-29,18:00:00,5.18
2019-03-29,20:00:00,4.12
2019-03-29,22:00:00,4.14
2019-03-30,00:00:00,3.09
2019-03-30,02:00:00,2.96
2019-03-30,04:00:00,2.68
2019-03-30,06:00:00,0.32
2019-03-30,08:00:00,-0.01
2019-03-30,10:00:00,1.78
2019-03-30,12:00:00,3.15
2019-03-30,14:00:00,1.30
2019-03-30,16:00:00,1.39
2019-03-30,18:00:00,1.01
2019-03-30,20:00:00,0.40
2019-03-30,22:00:00,1.43
2019-03-31,00:00:00,1.81
2019-03-31,02:00:00,2.51
2019-03-31,04:00:00,3.35
2019-03-31,06:00:00,3.50
2019-03-31,08:00:00,6.08
2019-03-31,10:00:00,9.45
2019-03-31,12:00:00,7.84
2019-03-31,14:00:00,9.21
2019-03-31,16:00:00,9.01
2019-03-31,18:00:00,7.12
2019-03-31,20:00:00,5.61
2019-03-31,22:00:00,3.18
2019-04-01,00:00:00,4.16
2019-04-01,02:00:00,3.21
2019-04-01,04:00:00,2.03
2019-04-01,06:00:00,5.67
2019-04-01,08:00:00,5.55
2019-04-01,10:00:00,3.46
2019-04-01,12:00:00,2.89
2019-04-01,14:00:00,1.77
2019-04-01,16:00:00,1.52
