Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_354239_20191025_1.vld
Source Device: Minilog-II-T-354239
Study Description: Fortune 21m PEI 2019 collector
Minilog Initialized: 2019-01-25 15:27:27 (UTC-4)
Study Start Time: 2019-06-30 00:00:00
Study Stop Time: 2019-10-25 10:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-06-30,00:00:00,19.72
2019-06-30,02:00:00,18.49
2019-06-30,04:00:00,17.55
2019-06-30,06:00:00,16.88
2019-06-30,08:00:00,16.47
2019-06-30,10:00:00,16.34
2019-06-30,12:00:00,16.67
2019-06-30,14:00:00,17.29
2019-06-30,16:00:00,18.10
2019-06-30,18:00:00,19.51
2019-06-30,20:00:00,20.44
2019-06-30,22:00:00,19.57
2019-07-01,00:00:00,17.86
2019-07-01,02:00:00,16.23
2019-07-01,04:00:00,14.89
2019-07-01,06:00:00,13.89
2019-07-01,08:00:00,13.29
2019-07-01,10:00:00,13.22
2019-07-01,12:00:00,13.48
2019-07-01,14:00:00,14.25
2019-07-01,16:00:00,16.26
2019-07-01,18:00:00,16.86
2019-07-01,20:00:00,16.10
2019-07-01,22:00:00,15.13
2019-07-02,00:00:00,14.30
2019-07-02,02:00:00,13.63
2019-07-02,04:00:00,13.13
2019-07-02,06:00:00,12.82
2019-07-02,08:00:00,12.72
2019-07-02,10:00:00,15.14
2019-07-02,12:00:00,25.89
2019-07-02,14:00:00,25.15
2019-07-02,16:00:00,23.49
2019-07-02,18:00:00,17.82
2019-07-02,20:00:00,16.31
2019-07-02,22:00:00,15.74
2019-07-03,00:00:00,15.45
2019-07-03,02:00:00,15.26
2019-07-03,04:00:00,15.12
2019-07-03,06:00:00,15.02
2019-07-03,08:00:00,15.04
2019-07-03,10:00:00,15.13
2019-07-03,12:00:00,15.23
2019-07-03,14:00:00,15.38
2019-07-03,16:00:00,15.67
2019-07-03,18:00:00,16.61
2019-07-03,20:00:00,16.82
2019-07-03,22:00:00,16.84
2019-07-04,00:00:00,16.78
2019-07-04,02:00:00,16.68
2019-07-04,04:00:00,16.62
2019-07-04,06:00:00,16.58
2019-07-04,08:00:00,16.69
2019-07-04,10:00:00,17.08
2019-07-04,12:00:00,17.46
2019-07-04,14:00:00,17.57
2019-07-04,16:00:00,24.51
2019-07-04,18:00:00,25.97
2019-07-04,20:00:00,25.36
2019-07-04,22:00:00,22.13
2019-07-05,00:00:00,19.54
2019-07-05,02:00:00,17.55
2019-07-05,04:00:00,16.59
2019-07-05,06:00:00,16.42
2019-07-05,08:00:00,20.78
2019-07-05,10:00:00,8.37
2019-07-05,12:00:00,8.49
2019-07-05,14:00:00,8.70
2019-07-05,16:00:00,8.92
2019-07-05,18:00:00,8.86
2019-07-05,20:00:00,9.03
2019-07-05,22:00:00,9.20
2019-07-06,00:00:00,9.44
2019-07-06,02:00:00,9.65
2019-07-06,04:00:00,9.44
2019-07-06,06:00:00,9.47
2019-07-06,08:00:00,9.63
2019-07-06,10:00:00,9.69
2019-07-06,12:00:00,9.80
2019-07-06,14:00:00,9.86
2019-07-06,16:00:00,9.19
2019-07-06,18:00:00,9.24
2019-07-06,20:00:00,9.89
2019-07-06,22:00:00,9.92
2019-07-07,00:00:00,9.99
2019-07-07,02:00:00,10.09
2019-07-07,04:00:00,10.20
2019-07-07,06:00:00,10.15
2019-07-07,08:00:00,10.20
2019-07-07,10:00:00,9.85
2019-07-07,12:00:00,9.92
2019-07-07,14:00:00,10.17
2019-07-07,16:00:00,10.18
2019-07-07,18:00:00,9.96
2019-07-07,20:00:00,9.90
2019-07-07,22:00:00,9.40
2019-07-08,00:00:00,10.27
2019-07-08,02:00:00,10.54
2019-07-08,04:00:00,10.65
2019-07-08,06:00:00,10.67
2019-07-08,08:00:00,10.68
2019-07-08,10:00:00,10.61
2019-07-08,12:00:00,10.92
2019-07-08,14:00:00,11.31
2019-07-08,16:00:00,11.47
2019-07-08,18:00:00,11.62
2019-07-08,20:00:00,11.68
2019-07-08,22:00:00,11.72
2019-07-09,00:00:00,12.23
2019-07-09,02:00:00,12.62
2019-07-09,04:00:00,12.88
2019-07-09,06:00:00,13.11
2019-07-09,08:00:00,13.13
2019-07-09,10:00:00,12.30
2019-07-09,12:00:00,12.20
2019-07-09,14:00:00,12.03
2019-07-09,16:00:00,12.08
2019-07-09,18:00:00,12.49
2019-07-09,20:00:00,12.42
2019-07-09,22:00:00,12.20
2019-07-10,00:00:00,12.46
2019-07-10,02:00:00,12.69
2019-07-10,04:00:00,12.92
2019-07-10,06:00:00,13.01
2019-07-10,08:00:00,13.19
2019-07-10,10:00:00,13.09
2019-07-10,12:00:00,13.60
2019-07-10,14:00:00,13.80
2019-07-10,16:00:00,14.25
2019-07-10,18:00:00,15.08
2019-07-10,20:00:00,15.29
2019-07-10,22:00:00,14.68
2019-07-11,00:00:00,14.49
2019-07-11,02:00:00,13.47
2019-07-11,04:00:00,13.42
2019-07-11,06:00:00,14.74
2019-07-11,08:00:00,14.90
2019-07-11,10:00:00,14.74
2019-07-11,12:00:00,15.03
2019-07-11,14:00:00,14.72
2019-07-11,16:00:00,15.32
2019-07-11,18:00:00,15.62
2019-07-11,20:00:00,15.60
2019-07-11,22:00:00,15.69
2019-07-12,00:00:00,15.82
2019-07-12,02:00:00,15.63
2019-07-12,04:00:00,14.99
2019-07-12,06:00:00,15.97
2019-07-12,08:00:00,16.03
2019-07-12,10:00:00,16.05
2019-07-12,12:00:00,16.10
2019-07-12,14:00:00,16.10
2019-07-12,16:00:00,14.55
2019-07-12,18:00:00,14.23
2019-07-12,20:00:00,14.09
2019-07-12,22:00:00,14.28
2019-07-13,00:00:00,12.43
2019-07-13,02:00:00,11.72
2019-07-13,04:00:00,11.28
2019-07-13,06:00:00,12.20
2019-07-13,08:00:00,13.70
2019-07-13,10:00:00,14.20
2019-07-13,12:00:00,14.42
2019-07-13,14:00:00,10.72
2019-07-13,16:00:00,9.95
2019-07-13,18:00:00,9.75
2019-07-13,20:00:00,10.50
2019-07-13,22:00:00,10.93
