Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_354091_20200421_1.vld
Source Device: Minilog-II-T-354091
Study Description: Miscou Island west NB EB 2019
Minilog Initialized: 2018-11-27 10:54:39 (UTC-4)
Study Start Time: 2019-03-25 00:00:00
Study Stop Time: 2020-04-21 08:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-03-25,00:00:00,0.80
2019-03-25,02:00:00,-0.49
2019-03-25,04:00:00,-1.85
2019-03-25,06:00:00,-2.67
2019-03-25,08:00:00,-2.39
2019-03-25,10:00:00,-0.43
2019-03-25,12:00:00,-0.77
2019-03-25,14:00:00,0.11
2019-03-25,16:00:00,3.08
2019-03-25,18:00:00,2.16
2019-03-25,20:00:00,-2.02
2019-03-25,22:00:00,-3.31
2019-03-26,00:00:00,-5.81
2019-03-26,02:00:00,-8.01
2019-03-26,04:00:00,-8.94
2019-03-26,06:00:00,-7.30
2019-03-26,08:00:00,-4.26
2019-03-26,10:00:00,-3.10
2019-03-26,12:00:00,-1.77
2019-03-26,14:00:00,-0.04
2019-03-26,16:00:00,2.24
2019-03-26,18:00:00,4.80
2019-03-26,20:00:00,-2.54
2019-03-26,22:00:00,-6.11
2019-03-27,00:00:00,-5.04
2019-03-27,02:00:00,-5.65
2019-03-27,04:00:00,-6.22
2019-03-27,06:00:00,-6.38
2019-03-27,08:00:00,-4.44
2019-03-27,10:00:00,-2.28
2019-03-27,12:00:00,0.58
2019-03-27,14:00:00,3.25
2019-03-27,16:00:00,8.27
2019-03-27,18:00:00,5.17
2019-03-27,20:00:00,-2.35
2019-03-27,22:00:00,-3.33
2019-03-28,00:00:00,-3.79
2019-03-28,02:00:00,-4.12
2019-03-28,04:00:00,-4.42
2019-03-28,06:00:00,-4.80
2019-03-28,08:00:00,-2.90
2019-03-28,10:00:00,0.01
2019-03-28,12:00:00,3.12
2019-03-28,14:00:00,6.65
2019-03-28,16:00:00,9.30
2019-03-28,18:00:00,5.47
2019-03-28,20:00:00,0.70
2019-03-28,22:00:00,-0.01
2019-03-29,00:00:00,0.08
2019-03-29,02:00:00,0.58
2019-03-29,04:00:00,1.00
2019-03-29,06:00:00,1.73
2019-03-29,08:00:00,3.12
2019-03-29,10:00:00,5.48
2019-03-29,12:00:00,8.08
2019-03-29,14:00:00,9.32
2019-03-29,16:00:00,7.70
2019-03-29,18:00:00,5.31
2019-03-29,20:00:00,4.61
2019-03-29,22:00:00,4.60
2019-03-30,00:00:00,3.23
2019-03-30,02:00:00,3.43
2019-03-30,04:00:00,2.94
2019-03-30,06:00:00,0.96
2019-03-30,08:00:00,0.83
2019-03-30,10:00:00,2.95
2019-03-30,12:00:00,5.31
2019-03-30,14:00:00,7.21
2019-03-30,16:00:00,6.60
2019-03-30,18:00:00,2.84
2019-03-30,20:00:00,1.48
2019-03-30,22:00:00,1.94
2019-03-31,00:00:00,2.06
2019-03-31,02:00:00,2.58
2019-03-31,04:00:00,4.21
2019-03-31,06:00:00,3.91
2019-03-31,08:00:00,6.00
2019-03-31,10:00:00,8.14
2019-03-31,12:00:00,9.58
2019-03-31,14:00:00,11.51
2019-03-31,16:00:00,13.73
2019-03-31,18:00:00,11.04
2019-03-31,20:00:00,6.75
2019-03-31,22:00:00,4.31
2019-04-01,00:00:00,4.68
2019-04-01,02:00:00,3.85
2019-04-01,04:00:00,2.58
2019-04-01,06:00:00,6.27
2019-04-01,08:00:00,5.83
2019-04-01,10:00:00,2.43
2019-04-01,12:00:00,2.06
2019-04-01,14:00:00,0.98
2019-04-01,16:00:00,1.56
2019-04-01,18:00:00,2.21
2019-04-01,20:00:00,0.99
2019-04-01,22:00:00,0.14
2019-04-02,00:00:00,-1.02
2019-04-02,02:00:00,-1.75
2019-04-02,04:00:00,-1.46
2019-04-02,06:00:00,-1.39
2019-04-02,08:00:00,-0.18
2019-04-02,10:00:00,1.05
2019-04-02,12:00:00,3.77
2019-04-02,14:00:00,6.64
2019-04-02,16:00:00,9.18
2019-04-02,18:00:00,7.19
2019-04-02,20:00:00,1.69
2019-04-02,22:00:00,2.00
2019-04-03,00:00:00,0.92
2019-04-03,02:00:00,0.12
2019-04-03,04:00:00,-0.06
2019-04-03,06:00:00,0.11
2019-04-03,08:00:00,0.86
2019-04-03,10:00:00,1.15
2019-04-03,12:00:00,0.26
2019-04-03,14:00:00,1.08
2019-04-03,16:00:00,1.76
2019-04-03,18:00:00,2.49
2019-04-03,20:00:00,2.37
2019-04-03,22:00:00,0.09
2019-04-04,00:00:00,0.97
2019-04-04,02:00:00,1.96
2019-04-04,04:00:00,1.86
2019-04-04,06:00:00,1.48
2019-04-04,08:00:00,1.18
2019-04-04,10:00:00,0.72
2019-04-04,12:00:00,1.37
2019-04-04,14:00:00,2.20
2019-04-04,16:00:00,3.57
2019-04-04,18:00:00,0.72
2019-04-04,20:00:00,0.04
2019-04-04,22:00:00,-0.77
2019-04-05,00:00:00,-1.94
2019-04-05,02:00:00,-2.94
2019-04-05,04:00:00,-3.34
