Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_350510_20190801_1.vld
Source Device: Minilog-II-T-350510
Study Description: Neguac 2019 UPM
Minilog Initialized: 2019-01-28 11:23:18 (UTC-4)
Study Start Time: 2019-04-30 00:00:00
Study Stop Time: 2019-08-01 12:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-04-30,00:00:00,6.35
2019-04-30,02:00:00,4.36
2019-04-30,04:00:00,2.67
2019-04-30,06:00:00,1.30
2019-04-30,08:00:00,1.09
2019-04-30,10:00:00,4.33
2019-04-30,12:00:00,9.12
2019-04-30,14:00:00,12.25
2019-04-30,16:00:00,14.35
2019-04-30,18:00:00,15.23
2019-04-30,20:00:00,13.82
2019-04-30,22:00:00,10.96
2019-05-01,00:00:00,7.82
2019-05-01,02:00:00,5.36
2019-05-01,04:00:00,3.36
2019-05-01,06:00:00,1.76
2019-05-01,08:00:00,1.37
2019-05-01,10:00:00,3.76
2019-05-01,12:00:00,8.25
2019-05-01,14:00:00,12.80
2019-05-01,16:00:00,16.28
2019-05-01,18:00:00,17.73
2019-05-01,20:00:00,16.44
2019-05-01,22:00:00,12.99
2019-05-02,00:00:00,9.46
2019-05-02,02:00:00,6.46
2019-05-02,04:00:00,4.60
2019-05-02,06:00:00,3.35
2019-05-02,08:00:00,3.15
2019-05-02,10:00:00,5.11
2019-05-02,12:00:00,9.95
2019-05-02,14:00:00,14.65
2019-05-02,16:00:00,18.35
2019-05-02,18:00:00,20.08
2019-05-02,20:00:00,17.80
2019-05-02,22:00:00,12.79
2019-05-03,00:00:00,8.07
2019-05-03,02:00:00,4.37
2019-05-03,04:00:00,1.76
2019-05-03,06:00:00,0.01
2019-05-03,08:00:00,-0.32
2019-05-03,10:00:00,3.59
2019-05-03,12:00:00,10.82
2019-05-03,14:00:00,16.47
2019-05-03,16:00:00,19.72
2019-05-03,18:00:00,20.11
2019-05-03,20:00:00,19.02
2019-05-03,22:00:00,16.80
2019-05-04,00:00:00,14.14
2019-05-04,02:00:00,11.55
2019-05-04,04:00:00,9.48
2019-05-04,06:00:00,8.05
2019-05-04,08:00:00,7.33
2019-05-04,10:00:00,7.47
2019-05-04,12:00:00,8.23
2019-05-04,14:00:00,9.79
2019-05-04,16:00:00,11.96
2019-05-04,18:00:00,13.91
2019-05-04,20:00:00,14.37
2019-05-04,22:00:00,12.56
2019-05-05,00:00:00,9.94
2019-05-05,02:00:00,7.44
2019-05-05,04:00:00,5.33
2019-05-05,06:00:00,3.74
2019-05-05,08:00:00,3.47
2019-05-05,10:00:00,7.44
2019-05-05,12:00:00,13.36
2019-05-05,14:00:00,18.63
2019-05-05,16:00:00,22.06
2019-05-05,18:00:00,23.77
2019-05-05,20:00:00,21.56
2019-05-05,22:00:00,16.77
2019-05-06,00:00:00,12.19
2019-05-06,02:00:00,8.69
2019-05-06,04:00:00,6.40
2019-05-06,06:00:00,5.05
2019-05-06,08:00:00,4.96
2019-05-06,10:00:00,7.08
2019-05-06,12:00:00,13.45
2019-05-06,14:00:00,19.76
2019-05-06,16:00:00,22.14
2019-05-06,18:00:00,23.74
2019-05-06,20:00:00,23.60
2019-05-06,22:00:00,22.77
2019-05-07,00:00:00,21.74
2019-05-07,02:00:00,20.86
2019-05-07,04:00:00,20.13
2019-05-07,06:00:00,19.56
2019-05-07,08:00:00,19.74
2019-05-07,10:00:00,20.56
2019-05-07,12:00:00,21.17
2019-05-07,14:00:00,21.79
2019-05-07,16:00:00,22.12
2019-05-07,18:00:00,21.85
2019-05-07,20:00:00,21.80
2019-05-07,22:00:00,21.57
2019-05-08,00:00:00,21.21
2019-05-08,02:00:00,20.94
2019-05-08,04:00:00,20.51
2019-05-08,06:00:00,20.05
2019-05-08,08:00:00,20.20
2019-05-08,10:00:00,19.28
2019-05-08,12:00:00,19.95
2019-05-08,14:00:00,20.63
2019-05-08,16:00:00,21.02
2019-05-08,18:00:00,21.17
2019-05-08,20:00:00,20.92
2019-05-08,22:00:00,20.36
2019-05-09,00:00:00,19.83
2019-05-09,02:00:00,19.35
2019-05-09,04:00:00,18.90
2019-05-09,06:00:00,18.54
2019-05-09,08:00:00,19.55
2019-05-09,10:00:00,20.72
2019-05-09,12:00:00,20.86
2019-05-09,14:00:00,21.34
2019-05-09,16:00:00,22.53
2019-05-09,18:00:00,23.15
2019-05-09,20:00:00,22.30
2019-05-09,22:00:00,21.44
2019-05-10,00:00:00,20.80
2019-05-10,02:00:00,20.20
2019-05-10,04:00:00,19.61
2019-05-10,06:00:00,19.10
2019-05-10,08:00:00,18.74
2019-05-10,10:00:00,18.53
2019-05-10,12:00:00,18.50
2019-05-10,14:00:00,18.64
2019-05-10,16:00:00,18.97
2019-05-10,18:00:00,19.14
2019-05-10,20:00:00,19.54
2019-05-10,22:00:00,19.97
2019-05-11,00:00:00,20.31
2019-05-11,02:00:00,20.48
2019-05-11,04:00:00,20.51
2019-05-11,06:00:00,20.49
2019-05-11,08:00:00,20.48
2019-05-11,10:00:00,20.54
2019-05-11,12:00:00,20.69
2019-05-11,14:00:00,20.95
2019-05-11,16:00:00,21.09
2019-05-11,18:00:00,20.85
2019-05-11,20:00:00,20.87
2019-05-11,22:00:00,20.93
2019-05-12,00:00:00,21.00
2019-05-12,02:00:00,21.01
2019-05-12,04:00:00,20.92
2019-05-12,06:00:00,20.76
2019-05-12,08:00:00,20.65
2019-05-12,10:00:00,20.67
2019-05-12,12:00:00,20.66
2019-05-12,14:00:00,20.12
2019-05-12,16:00:00,18.37
2019-05-12,18:00:00,17.87
2019-05-12,20:00:00,16.33
2019-05-12,22:00:00,14.02
2019-05-13,00:00:00,11.56
2019-05-13,02:00:00,9.14
2019-05-13,04:00:00,6.80
2019-05-13,06:00:00,3.91
2019-05-13,08:00:00,5.87
2019-05-13,10:00:00,8.26
2019-05-13,12:00:00,11.46
2019-05-13,14:00:00,14.38
2019-05-13,16:00:00,16.77
2019-05-13,18:00:00,17.90
2019-05-13,20:00:00,16.88
2019-05-13,22:00:00,13.40
2019-05-14,00:00:00,9.73
2019-05-14,02:00:00,6.50
2019-05-14,04:00:00,3.85
2019-05-14,06:00:00,3.92
2019-05-14,08:00:00,6.39
2019-05-14,10:00:00,7.73
2019-05-14,12:00:00,11.32
2019-05-14,14:00:00,12.76
2019-05-14,16:00:00,14.28
2019-05-14,18:00:00,14.91
2019-05-14,20:00:00,15.41
