Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_353010_20200421_1.vld
Source Device: Minilog-II-T-353010
Study Description: North Tracadie NB TE2 2020
Minilog Initialized: 2019-10-01 09:30:44 (UTC-3)
Study Start Time: 2020-03-25 00:00:00
Study Stop Time: 2020-04-21 08:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2020-03-25,00:00:00,4.46
2020-03-25,02:00:00,2.02
2020-03-25,04:00:00,0.00
2020-03-25,06:00:00,-1.54
2020-03-25,08:00:00,-2.39
2020-03-25,10:00:00,4.23
2020-03-25,12:00:00,11.28
2020-03-25,14:00:00,16.60
2020-03-25,16:00:00,21.09
2020-03-25,18:00:00,22.12
2020-03-25,20:00:00,16.74
2020-03-25,22:00:00,10.92
2020-03-26,00:00:00,6.54
2020-03-26,02:00:00,3.47
2020-03-26,04:00:00,1.48
2020-03-26,06:00:00,0.24
2020-03-26,08:00:00,-0.53
2020-03-26,10:00:00,0.67
2020-03-26,12:00:00,4.96
2020-03-26,14:00:00,8.35
2020-03-26,16:00:00,13.10
2020-03-26,18:00:00,15.48
2020-03-26,20:00:00,17.45
2020-03-26,22:00:00,19.19
2020-03-27,00:00:00,20.02
2020-03-27,02:00:00,20.14
2020-03-27,04:00:00,19.81
2020-03-27,06:00:00,19.33
2020-03-27,08:00:00,19.10
2020-03-27,10:00:00,19.68
2020-03-27,12:00:00,19.96
2020-03-27,14:00:00,19.92
2020-03-27,16:00:00,19.73
2020-03-27,18:00:00,19.50
2020-03-27,20:00:00,19.87
2020-03-27,22:00:00,20.34
2020-03-28,00:00:00,20.76
2020-03-28,02:00:00,20.75
2020-03-28,04:00:00,20.39
2020-03-28,06:00:00,19.88
2020-03-28,08:00:00,19.59
2020-03-28,10:00:00,19.96
2020-03-28,12:00:00,20.16
2020-03-28,14:00:00,20.29
2020-03-28,16:00:00,20.37
2020-03-28,18:00:00,20.39
2020-03-28,20:00:00,20.67
2020-03-28,22:00:00,20.88
2020-03-29,00:00:00,21.23
2020-03-29,02:00:00,21.12
2020-03-29,04:00:00,20.66
2020-03-29,06:00:00,20.07
2020-03-29,08:00:00,19.70
2020-03-29,10:00:00,20.03
2020-03-29,12:00:00,20.31
2020-03-29,14:00:00,20.61
2020-03-29,16:00:00,20.86
2020-03-29,18:00:00,20.95
2020-03-29,20:00:00,21.17
2020-03-29,22:00:00,21.24
2020-03-30,00:00:00,21.45
2020-03-30,02:00:00,21.22
2020-03-30,04:00:00,20.72
2020-03-30,06:00:00,20.13
2020-03-30,08:00:00,19.82
2020-03-30,10:00:00,20.10
2020-03-30,12:00:00,20.20
2020-03-30,14:00:00,20.17
2020-03-30,16:00:00,20.05
2020-03-30,18:00:00,19.93
2020-03-30,20:00:00,20.26
2020-03-30,22:00:00,20.59
2020-03-31,00:00:00,20.89
2020-03-31,02:00:00,20.66
2020-03-31,04:00:00,20.22
2020-03-31,06:00:00,19.71
2020-03-31,08:00:00,19.48
2020-03-31,10:00:00,19.84
2020-03-31,12:00:00,19.91
2020-03-31,14:00:00,19.80
2020-03-31,16:00:00,19.61
2020-03-31,18:00:00,19.40
2020-03-31,20:00:00,19.79
2020-03-31,22:00:00,20.28
2020-04-01,00:00:00,20.75
2020-04-01,02:00:00,20.78
2020-04-01,04:00:00,20.46
2020-04-01,06:00:00,20.02
2020-04-01,08:00:00,19.80
2020-04-01,10:00:00,19.07
2020-04-01,12:00:00,15.08
2020-04-01,14:00:00,16.61
2020-04-01,16:00:00,16.06
2020-04-01,18:00:00,18.03
2020-04-01,20:00:00,19.76
2020-04-01,22:00:00,20.08
2020-04-02,00:00:00,20.43
2020-04-02,02:00:00,20.03
2020-04-02,04:00:00,19.43
2020-04-02,06:00:00,18.95
2020-04-02,08:00:00,20.18
2020-04-02,10:00:00,18.85
2020-04-02,12:00:00,18.95
2020-04-02,14:00:00,16.57
2020-04-02,16:00:00,17.96
2020-04-02,18:00:00,19.08
2020-04-02,20:00:00,20.68
2020-04-02,22:00:00,21.33
2020-04-03,00:00:00,20.81
2020-04-03,02:00:00,19.95
2020-04-03,04:00:00,19.11
2020-04-03,06:00:00,18.52
2020-04-03,08:00:00,15.67
2020-04-03,10:00:00,15.98
2020-04-03,12:00:00,17.62
2020-04-03,14:00:00,18.34
2020-04-03,16:00:00,17.11
2020-04-03,18:00:00,18.30
2020-04-03,20:00:00,19.81
2020-04-03,22:00:00,20.38
2020-04-04,00:00:00,20.34
2020-04-04,02:00:00,19.66
2020-04-04,04:00:00,18.99
2020-04-04,06:00:00,18.31
2020-04-04,08:00:00,18.24
2020-04-04,10:00:00,13.07
2020-04-04,12:00:00,11.89
2020-04-04,14:00:00,13.32
2020-04-04,16:00:00,14.57
2020-04-04,18:00:00,17.29
2020-04-04,20:00:00,19.46
2020-04-04,22:00:00,20.16
2020-04-05,00:00:00,20.00
2020-04-05,02:00:00,19.47
2020-04-05,04:00:00,18.89
2020-04-05,06:00:00,18.31
2020-04-05,08:00:00,19.48
2020-04-05,10:00:00,20.24
2020-04-05,12:00:00,20.56
2020-04-05,14:00:00,20.75
2020-04-05,16:00:00,20.70
2020-04-05,18:00:00,20.84
2020-04-05,20:00:00,21.13
2020-04-05,22:00:00,20.96
2020-04-06,00:00:00,20.84
2020-04-06,02:00:00,20.08
2020-04-06,04:00:00,19.38
2020-04-06,06:00:00,18.82
2020-04-06,08:00:00,20.18
2020-04-06,10:00:00,17.52
2020-04-06,12:00:00,16.19
2020-04-06,14:00:00,16.59
2020-04-06,16:00:00,17.78
2020-04-06,18:00:00,18.96
2020-04-06,20:00:00,20.09
2020-04-06,22:00:00,20.64
2020-04-07,00:00:00,20.61
2020-04-07,02:00:00,20.17
2020-04-07,04:00:00,19.73
2020-04-07,06:00:00,19.36
2020-04-07,08:00:00,19.83
2020-04-07,10:00:00,16.67
2020-04-07,12:00:00,15.06
2020-04-07,14:00:00,16.84
2020-04-07,16:00:00,18.23
2020-04-07,18:00:00,19.12
2020-04-07,20:00:00,20.14
2020-04-07,22:00:00,20.46
2020-04-08,00:00:00,20.60
2020-04-08,02:00:00,20.22
2020-04-08,04:00:00,19.75
2020-04-08,06:00:00,19.30
2020-04-08,08:00:00,19.80
2020-04-08,10:00:00,18.37
2020-04-08,12:00:00,17.14
2020-04-08,14:00:00,16.64
2020-04-08,16:00:00,17.69
2020-04-08,18:00:00,18.87
2020-04-08,20:00:00,20.00
2020-04-08,22:00:00,20.47
2020-04-09,00:00:00,20.75
2020-04-09,02:00:00,20.42
2020-04-09,04:00:00,19.89
2020-04-09,06:00:00,19.40
2020-04-09,08:00:00,19.76
2020-04-09,10:00:00,16.68
2020-04-09,12:00:00,14.94
2020-04-09,14:00:00,15.31
2020-04-09,16:00:00,17.73
2020-04-09,18:00:00,19.00
2020-04-09,20:00:00,20.17
2020-04-09,22:00:00,20.44
2020-04-10,00:00:00,20.27
2020-04-10,02:00:00,19.81
2020-04-10,04:00:00,19.26
2020-04-10,06:00:00,18.74
2020-04-10,08:00:00,19.13
2020-04-10,10:00:00,19.72
2020-04-10,12:00:00,19.78
2020-04-10,14:00:00,19.46
2020-04-10,16:00:00,19.10
2020-04-10,18:00:00,19.16
2020-04-10,20:00:00,19.82
