Source File: C:\Users\DFO\Documents\Vemco\LoggerVUE\Minilog-II-T_350552_20190801_1.vld
Source Device: Minilog-II-T-350552
Study Description: Pointe Verte 2019 UPM
Minilog Initialized: 2019-01-28 11:19:59 (UTC-4)
Study Start Time: 2019-04-30 00:00:00
Study Stop Time: 2019-08-01 12:00:00
Sample Interval: 02:00:00
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2019-04-30,00:00:00,6.03
2019-04-30,02:00:00,4.06
2019-04-30,04:00:00,2.39
2019-04-30,06:00:00,1.03
2019-04-30,08:00:00,0.92
2019-04-30,10:00:00,4.52
2019-04-30,12:00:00,9.52
2019-04-30,14:00:00,12.63
2019-04-30,16:00:00,14.69
2019-04-30,18:00:00,15.49
2019-04-30,20:00:00,13.80
2019-04-30,22:00:00,10.69
2019-05-01,00:00:00,7.44
2019-05-01,02:00:00,5.00
2019-05-01,04:00:00,3.04
2019-05-01,06:00:00,1.46
2019-05-01,08:00:00,1.19
2019-05-01,10:00:00,3.83
2019-05-01,12:00:00,8.50
2019-05-01,14:00:00,13.12
2019-05-01,16:00:00,16.63
2019-05-01,18:00:00,18.05
2019-05-01,20:00:00,16.48
2019-05-01,22:00:00,12.67
2019-05-02,00:00:00,9.04
2019-05-02,02:00:00,6.04
2019-05-02,04:00:00,4.28
2019-05-02,06:00:00,3.10
2019-05-02,08:00:00,3.00
2019-05-02,10:00:00,5.16
2019-05-02,12:00:00,10.25
2019-05-02,14:00:00,15.06
2019-05-02,16:00:00,18.75
2019-05-02,18:00:00,20.46
2019-05-02,20:00:00,17.84
2019-05-02,22:00:00,12.40
2019-05-03,00:00:00,7.58
2019-05-03,02:00:00,3.91
2019-05-03,04:00:00,1.36
2019-05-03,06:00:00,-0.31
2019-05-03,08:00:00,-0.52
2019-05-03,10:00:00,3.58
2019-05-03,12:00:00,11.06
2019-05-03,14:00:00,16.82
2019-05-03,16:00:00,20.09
2019-05-03,18:00:00,20.32
2019-05-03,20:00:00,19.02
2019-05-03,22:00:00,16.61
2019-05-04,00:00:00,13.85
2019-05-04,02:00:00,11.24
2019-05-04,04:00:00,9.20
2019-05-04,06:00:00,7.81
2019-05-04,08:00:00,7.18
2019-05-04,10:00:00,7.42
2019-05-04,12:00:00,8.25
2019-05-04,14:00:00,9.87
2019-05-04,16:00:00,12.10
2019-05-04,18:00:00,14.07
2019-05-04,20:00:00,14.50
2019-05-04,22:00:00,12.40
2019-05-05,00:00:00,9.63
2019-05-05,02:00:00,7.09
2019-05-05,04:00:00,4.99
2019-05-05,06:00:00,3.45
2019-05-05,08:00:00,3.26
2019-05-05,10:00:00,7.47
2019-05-05,12:00:00,13.61
2019-05-05,14:00:00,18.98
2019-05-05,16:00:00,22.39
2019-05-05,18:00:00,24.12
2019-05-05,20:00:00,21.60
2019-05-05,22:00:00,16.39
2019-05-06,00:00:00,11.71
2019-05-06,02:00:00,8.23
2019-05-06,04:00:00,6.03
2019-05-06,06:00:00,4.77
2019-05-06,08:00:00,4.81
2019-05-06,10:00:00,7.10
2019-05-06,12:00:00,17.08
