site,site.depth.m,surface.bottom,log.depth.m,latitude,longitude,year,serial.number,buoy.id,notes,type
"Alberton, PEI",9,B,9,46.7368,63.971,2024,S11853,collecteur,,coll
"Alberton, PEI",9,B,9,46.7368,63.971,,354090,collecteur,,coll
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2022,S11834,DFO,,DFO
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2022,T6490,DFO,,DFO
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2023,S11853,DFO,,DFO
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,S11875,DFO,,DFO
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2025,S12331,DFO,,DFO
"Anse Bleue 1, NB",24,B,12,47.85065,65.07125,2024,S12331,DFO,,DFO
"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,S11876,DFO,,DFO
"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2025,S12347,DFO,,DFO
"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,2024,S12347,DFO,,DFO
"Anse Bleue 2, NB",24,B,18,47.85065,65.07125,,358424,DFO,,DFO
"Anse Bleue 3, NB",24,B,24,47.85065,65.07125,2022,S11855,DFO,,DFO
"Anse Bleue 3, NB",24,B,24,47.85065,65.07125,2023,S11855,DFO,,DFO
"Anse Bleue 3, NB",24,B,24,47.85065,65.07125,2024,S11877,DFO,,DFO
"Anse Bleue 3, NB",24,B,24,47.85065,65.07125,2025,S12312,DFO,,DFO
"Arisaig, NS",12,B,12,45.7581,62.1992,2022,S11879,,,
"Anse Bleue 3, NB",24,B,24,47.85065,65.07125,2024,S12312,DFO,,DFO
"Arisaig, NS",12,B,11,45.7581,62.1992,,,Leonard Leblanc,,
"Auld Cove, NS",20,B,19,45.7036,61.4775,,,Leonard Leblanc,,
"Ballantynes, NS",20,B,19,45.6706,61.7878,,354240,Leonard Leblanc,,
"Bayfield, NS",20,B,20,45.67055556,61.78777778,2022,358421,,,
"Bayfield, NS",20,B,20,45.67055556,61.78777778,2022,S11883,,,
"Bayfield, NS",20,B,20,45.67056,61.78778,,354252,Leonard Leblanc,,
"Beach Point, PEI",,B,,,,2023,T6488,Robert MacMillan,,
"Burnt Church, NB",3,B,3,47.183367,65.14495,,,DFO,NEW site for 2023 ,
"Cape Egmont, PEI",,B,,,,2023,T6482,Robert MacMillan,,
"Cape Egmont, PEI",,B,,,,,,,,
"Cape George, NS",17,B,16,45.87619,61.88717,2021,,VU2,,CG
"Cape George, NS",17,B,16,45.87619,61.88717,2022,358420,VU2,,CG
"Cape George, NS",17,B,16,45.87619,61.88717,2023,S11850,VU2,,CG
"Cape George, NS",17,B,16,45.87619,61.88717,2024,S11842,VU2,,CG
"Cape Tormentine, NB",15,B,14,46.10944,63.68444,2021,,X5,,CG
"Cape Tormentine, NB",15,B,14,46.10944,63.68444,2022,356293,X5,,CG
"Cape Tormentine, NB",15,B,14,46.10944,63.68444,2023,S11849,X5,,CG
"Cape Tormentine, NB",15,B,14,46.10944,63.68444,2024,S12305,X5,,CG
"Caribou, NS",10,B,9,45.77464,62.67353,2021,,SP2,,CG
"Caribou, NS",10,B,9,45.77464,62.67353,2022,354244,SP2,,CG
"Caribou, NS",10,B,9,45.77464,62.67353,2023,S11852,SP2,,CG
"Caribou, NS",10,B,9,45.77464,62.67353,2024,S12304,SP2,,CG
"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2023,S11857,JV,,CG
"Cascumpeque, PEI",12,B,11,46.79563,63.99395,2024,S12321,JV,,CG
"Cheticamp, NS",20,B,19,46.6131,61.0658,2022,S11884,,,
"Cheticamp, NS",20,B,19,46.6131,61.0658,2023,S11884,,,
"Cheticamp, NS",18,B,17,46.6131,61.0658,,350520,Leonard Leblanc,,
"Covehead 1, PEI",7,B,7,46.4408,63.15933,2023,S11839,collecteur,,coll
"Covehead 1, PEI",7,B,7,46.4408,63.15933,2024,S11839,collecteur,,coll
"Covehead 2, PEI",13,B,12,46.4484,63.1385,2023,S11826,JJ,,CG
"East Point Reef, PEI",22,B,21,46.47333,61.94889,,352989,NDN,,CG
"Egmont Bay, PEI",8,B,8,46.4562,64.13182,2022,S11837,collecteur,,coll
"Egmont Bay, PEI",8,B,8,46.4562,64.13182,2023,S11837,collecteur,,coll
"Egmont Bay, PEI",8,B,8,46.4562,64.13182,2024,S11837,collecteur,,coll
"Escuminac, NB",11,B,10,47.1192,64.785,2021,350544,X31,,CG
"Escuminac, NB",11,B,10,47.1192,64.785,2022,358436,X31,,CG
"Escuminac, NB",11,S,2,47.1192,64.785,2022,T6479,X31,,CG
"Fisherman Bank, PEI",,B,,,,2023,T6485,Robert MacMillan,,
"Fortune 1, PEI",9,B,9,46.30181,62.33591,2023,S11840,collecteur,,coll
"Fortune 1, PEI",9,B,9,46.30181,62.33591,2024,S11840,collecteur,,coll
"Fortune 2, PEI",21,B,21,46.30228,62.30926,2023,S11841,collecteur,,coll
"Fortune 2, PEI",21,B,21,46.30228,62.30926,2024,S11841,collecteur,,coll
"Howard Cove, PEI",,B,,,,2023,T6484,Robert MacMillan,,
"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2022,S11248,N8,,CG
"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2023,S11829,N8,,CG
"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2023,S11248,N8,,CG
"Indian Rocks, PEI",20,B,19,45.91507,62.8199,2024,S12332,N8,,CG
"Jack Shoal, NS",17,B,16,45.72256,61.54981,2021,354095,VU4,,CG
"Jack Shoal, NS",17,B,16,45.72256,61.54981,2022,356288,VU4,,CG
"Jack Shoal, NS",17,B,16,45.72256,61.54981,2023,S11830,VU4,,CG
"Jack Shoal, NS",17,B,16,45.72256,61.54981,2024,S12333,VU4,,CG
"Le Goulet, NB",9,B,8,47.7106,64.6572,2022,S118483,,,
"Le Goulet, NB",9,B,8,47.7106,64.6497,2023,350539,TJ2,,CG
"Le Goulet, NB",9,B,8,47.7106,64.6572,2023,S118483,TJ,,CG
"Le Goulet, NB",9,B,8,47.7106,64.6572,2024,S11848,TJ,,CG
"Mabou Harbour, NS",13,B,12,46.09141,61.49111,2022,s11243,VJ,,CG
"Mabou Harbour, NS",13,B,12,46.09141,61.49111,2023,S11831,VJ,,CG
"Mabou Harbour, NS",13,B,12,46.09141,61.49111,2024,S11243,VJ,,CG
"Malpeque, PEI",17,B,16,46.58339,63.61881,2022,356286,JP,,CG
"Malpeque, PEI",17,S,2,46.58339,63.61881,2022,T6480,JP,,CG
"Malpeque, PEI",17,B,16,46.58339,63.61881,2023,S11832,JP,,CG
"Malpeque, PEI",17,S,1,46.58339,63.61881,2023,S11833,JP,,CG
"Malpeque, PEI",17,B,16,46.58339,63.61881,2024,S12334,JP,,CG
"Malpeque, PEI",17,S,1,46.58339,63.61881,2024,S12335,JP,,CG
"Margaree, NS ",18,B,17,46.4558,61.1228,2022,S11885,,,
"Miminegash, PEI",,B,,,,2023,T6613,Robert MacMillan,,
