Recorder,Serial numb,Site (text),Site Depth(m),Surface-Bottom,Log Depth(m),Latitude,Longitude,Year,Month,Day,Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,12:00:00 AM,15.27,27.99,35.33,1499.25
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,12:30:00 AM,15.18,28,35.26,1498.96
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,1:00:00 AM,15.15,28,35.24,1498.86
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,1:30:00 AM,15.12,28,35.21,1498.76
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,2:00:00 AM,15.12,28.02,35.24,1498.79
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,2:30:00 AM,14.96,28.05,35.15,1498.33
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,3:00:00 AM,14.93,28.05,35.12,1498.23
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,3:30:00 AM,14.87,28.08,35.1,1498.06
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,4:00:00 AM,14.87,28.05,35.08,1498.03
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,4:30:00 AM,14.84,28.06,35.05,1497.93
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,5:00:00 AM,14.81,28.06,35.03,1497.84
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,5:30:00 AM,14.78,28.06,35.01,1497.74
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,6:00:00 AM,14.75,28.06,34.98,1497.64
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,6:30:00 AM,14.75,28.04,34.96,1497.61
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,7:00:00 AM,14.75,28.06,34.98,1497.64
DST CT,S11834,Alberton,9,B,9,46.7368,63.971,2022,7,6,2022-07-06,7:30:00 AM,14.72,28.04,34.93,1497.51
