"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","12:00:00 AM",1.02,7.4,7.14,1416.91,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","12:30:00 AM",1.02,7.15,6.93,1416.58,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","01:00:00 AM",0.95,6.62,6.43,1415.5,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","01:30:00 AM",0.95,7.75,7.44,1417,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","02:00:00 AM",0.91,5.53,5.43,1413.86,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","02:30:00 AM",0.95,10.65,10.01,1420.86,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","03:00:00 AM",0.98,7.8,7.5,1417.26,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","03:30:00 AM",0.98,5.26,5.19,1413.87,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","04:00:00 AM",1.02,10.04,9.5,1420.43,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","04:30:00 AM",1.02,7.43,7.17,1416.95,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","05:00:00 AM",1.02,9.4,8.94,1419.58,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","05:30:00 AM",1.02,7.73,7.44,1417.35,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","06:00:00 AM",0.95,3.99,4.01,1412,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","06:30:00 AM",0.91,8.86,8.42,1418.28,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","07:00:00 AM",0.87,6.17,6,1414.51,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","07:30:00 AM",0.87,8.92,8.47,1418.18,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","08:00:00 AM",0.83,6.91,6.66,1415.31,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","08:30:00 AM",0.87,7.19,6.93,1415.87,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","09:00:00 AM",0.87,6.48,6.29,1414.93,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","09:30:00 AM",0.91,5.87,5.74,1414.31,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","10:00:00 AM",0.91,8.72,8.3,1418.1,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","10:30:00 AM",0.87,7.01,6.76,1415.63,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","11:00:00 AM",0.91,9.72,9.18,1419.43,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","11:30:00 AM",0.91,3.44,3.48,1411.08,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","12:00:00 PM",0.91,2.97,3.02,1410.44,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","12:30:00 PM",0.95,6.99,6.76,1415.99,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","01:00:00 PM",0.98,5.3,5.23,1413.93,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","01:30:00 PM",0.95,7.52,7.24,1416.69,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","02:00:00 PM",0.87,7.5,7.21,1416.29,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","02:30:00 PM",0.91,6.4,6.22,1415.01,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","03:00:00 PM",1.02,11.51,10.78,1422.38,"DFO"
"Star-Oddi DST CT","s11853","Anse Bleue 1, NB",24,"B",12,47.85065,65.07125,2023,1,1,"2023-01-01","03:30:00 PM",1.1,10.29,9.74,1421.13,"DFO"
