"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"12:00:00 AM",2.26,2.5,2.68,1416.26,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"12:29:59 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"01:00:00 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"01:30:00 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"01:59:59 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"02:30:00 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"03:00:00 AM",2.22,2.51,2.68,1416.08,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"03:29:59 AM",2.18,2.51,2.68,1415.9,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"04:00:00 AM",2.18,2.51,2.68,1415.9,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"04:30:00 AM",2.18,2.51,2.68,1415.9,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"04:59:59 AM",2.33,2.5,2.68,1416.61,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"05:30:00 AM",2.56,2.43,2.63,1417.59,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"06:00:00 AM",2.6,2.43,2.63,1417.77,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"06:29:59 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"07:00:00 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"07:30:00 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"07:59:59 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"08:30:00 AM",2.68,2.42,2.63,1418.11,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"09:00:00 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"09:29:59 AM",2.64,2.42,2.63,1417.94,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"10:00:00 AM",2.52,2.43,2.63,1417.42,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"10:30:00 AM",2.45,2.49,2.68,1417.13,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"10:59:59 AM",2.41,2.49,2.68,1416.96,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"11:30:00 AM",2.49,2.49,2.68,1417.31,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"12:00:00 PM",2.52,2.43,2.63,1417.42,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"12:29:59 PM",2.52,2.43,2.63,1417.42,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"01:00:00 PM",2.33,2.5,2.68,1416.61,"DFO"
"Star-Oddi DST CT","s11877","Anse Bleue 3, NB",24,"B",24,47.85065,65.07125,2024,1,1,2024-01-01,"01:30:00 PM",2.45,2.49,2.68,1417.13,"DFO"
