"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature"
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"12:00:00 AM",24.13
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"02:00:00 AM",23.35
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"04:00:00 AM",22.46
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"06:00:00 AM",21.82
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"08:00:00 AM",23.14
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"10:00:00 AM",25.62
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"12:00:00 PM",26.86
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"02:00:00 PM",27.26
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"04:00:00 PM",28.6
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"06:00:00 PM",28.3
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"08:00:00 PM",26.87
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,5,2022-08-05,"10:00:00 PM",24.23
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"12:00:00 AM",22.48
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"02:00:00 AM",21.67
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"04:00:00 AM",20.58
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"06:00:00 AM",19.85
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"08:00:00 AM",22.44
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"10:00:00 AM",25.1
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"12:00:00 PM",26.75
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"02:00:00 PM",28.43
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"04:00:00 PM",26.97
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"06:00:00 PM",27.73
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"08:00:00 PM",27.38
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,6,2022-08-06,"10:00:00 PM",26.74
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"12:00:00 AM",25.73
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"02:00:00 AM",24.83
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"04:00:00 AM",24.17
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"06:00:00 AM",23.71
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"08:00:00 AM",23.64
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"10:00:00 AM",24.96
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"12:00:00 PM",26.25
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"02:00:00 PM",27.14
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"04:00:00 PM",28.14
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"06:00:00 PM",28.86
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"08:00:00 PM",28.35
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,7,2022-08-07,"10:00:00 PM",27.52
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"12:00:00 AM",26.55
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"02:00:00 AM",25.49
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"04:00:00 AM",24.17
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"06:00:00 AM",23.19
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"08:00:00 AM",22.33
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"10:00:00 AM",19.26
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"12:00:00 PM",20.57
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"02:00:00 PM",20.93
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"04:00:00 PM",20.28
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"06:00:00 PM",18.4
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"08:00:00 PM",15.89
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,8,2022-08-08,"10:00:00 PM",14.86
"Starmon Mini","T6482",NA,NA,NA,NA,NA,NA,2022,8,9,2022-08-09,"12:00:00 AM",14.59
