"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","12:00:00 AM",0.46,28.99,24.8,1443.05,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","12:30:00 AM",0.46,29,24.82,1443.07,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","01:00:00 AM",0.46,29,24.82,1443.07,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","01:30:00 AM",0.54,28.96,24.84,1443.38,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","02:00:00 AM",0.58,28.95,24.87,1443.56,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","02:30:00 AM",0.62,28.93,24.88,1443.71,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","03:00:00 AM",0.62,28.96,24.9,1443.76,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","03:30:00 AM",0.66,28.94,24.92,1443.91,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","04:00:00 AM",0.66,28.94,24.92,1443.91,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","04:30:00 AM",0.58,28.95,24.87,1443.56,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","05:00:00 AM",0.62,28.93,24.88,1443.71,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","05:30:00 AM",0.62,28.96,24.9,1443.76,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","06:00:00 AM",0.58,29,24.91,1443.62,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","06:30:00 AM",0.58,29,24.91,1443.62,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","07:00:00 AM",0.58,29,24.91,1443.62,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","07:30:00 AM",0.62,28.96,24.9,1443.76,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","08:00:00 AM",0.66,28.91,24.89,1443.86,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","08:30:00 AM",0.7,28.9,24.91,1444.04,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","09:00:00 AM",0.62,28.96,24.9,1443.76,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","09:30:00 AM",0.42,29.05,24.82,1442.94,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","10:00:00 AM",0.38,29.07,24.81,1442.78,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","10:30:00 AM",0.38,29.1,24.83,1442.83,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","11:00:00 AM",0.38,29.1,24.83,1442.83,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","11:30:00 AM",0.38,29.1,24.83,1442.83,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","12:00:00 PM",0.42,29.08,24.85,1442.98,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","12:30:00 PM",0.42,29.08,24.85,1442.98,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","01:00:00 PM",0.42,29.05,24.82,1442.94,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","01:30:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","02:00:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","02:30:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","03:00:00 PM",0.46,29.06,24.86,1443.14,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","03:30:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","04:00:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","04:30:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","05:00:00 PM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","05:30:00 PM",0.5,29,24.84,1443.25,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","06:00:00 PM",0.54,28.99,24.87,1443.42,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","06:30:00 PM",0.54,28.99,24.87,1443.42,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","07:00:00 PM",0.54,28.99,24.87,1443.42,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","07:30:00 PM",0.54,28.99,24.87,1443.42,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","08:00:00 PM",0.58,28.99,24.89,1443.6,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","08:30:00 PM",0.7,28.92,24.93,1444.06,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","09:00:00 PM",0.7,28.95,24.95,1444.11,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","09:30:00 PM",0.74,28.93,24.97,1444.26,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","10:00:00 PM",0.74,28.91,24.95,1444.24,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","10:30:00 PM",0.62,28.96,24.9,1443.76,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","11:00:00 PM",0.5,28.98,24.83,1443.22,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,29,"2023-04-29","11:30:00 PM",0.5,29,24.84,1443.25,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","12:00:00 AM",0.5,29.02,24.86,1443.27,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","12:30:00 AM",0.46,29.02,24.83,1443.09,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","01:00:00 AM",0.46,29.04,24.84,1443.12,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","01:30:00 AM",0.5,29,24.84,1443.25,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","02:00:00 AM",0.5,29.02,24.86,1443.27,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","02:30:00 AM",0.34,29.07,24.78,1442.61,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","03:00:00 AM",0.3,29.12,24.79,1442.47,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","03:30:00 AM",0.26,29.12,24.76,1442.3,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","04:00:00 AM",0.1,29.18,24.69,1441.63,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","04:30:00 AM",0.06,29.21,24.68,1441.47,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","05:00:00 AM",0.02,29.25,24.68,1441.33,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","05:30:00 AM",-0.02,29.27,24.67,1441.18,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","06:00:00 AM",-0.02,29.29,24.68,1441.2,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","06:30:00 AM",-0.02,29.27,24.67,1441.18,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","07:00:00 AM",-0.02,29.31,24.69,1441.22,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","07:30:00 AM",0.02,29.27,24.69,1441.36,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","08:00:00 AM",0.06,29.19,24.66,1441.45,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","08:30:00 AM",0.06,29.22,24.69,1441.49,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","09:00:00 AM",0.14,29.18,24.71,1441.8,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","09:30:00 AM",0.18,29.15,24.72,1441.96,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","10:00:00 AM",0.22,29.15,24.75,1442.14,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","10:30:00 AM",0.42,29.06,24.83,1442.96,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","11:00:00 AM",0.38,29.07,24.81,1442.78,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","11:30:00 AM",0.34,29.09,24.8,1442.63,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","12:00:00 PM",0.3,29.13,24.8,1442.5,"VU2"
"Star-Oddi DST CT","s11850","Cape George, NS",17,"B",16,45.87619,61.88717,2023,4,30,"2023-04-30","12:30:00 PM",0.34,29.11,24.81,1442.65,"VU2"
