"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"12:00:00 AM",1.73,29.22,25.92,1449.09,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"12:29:59 AM",1.69,29.22,25.9,1448.92,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"01:00:00 AM",1.61,29.29,25.9,1448.66,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"01:30:00 AM",1.61,29.26,25.87,1448.62,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"01:59:59 AM",1.57,29.33,25.9,1448.54,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"02:30:00 AM",1.53,29.36,25.9,1448.41,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"03:00:00 AM",1.45,29.37,25.84,1448.06,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"03:29:59 AM",1.45,29.37,25.84,1448.06,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"04:00:00 AM",1.45,29.37,25.84,1448.06,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"04:30:00 AM",1.41,29.41,25.84,1447.93,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"04:59:59 AM",1.45,29.33,25.81,1448.02,"SP2"
"Star-Oddi DST CT","s12304","Caribou, NS",10,"B",9,45.77464,62.67353,2024,4,8,2024-04-08,"05:30:00 AM",1.41,29.34,25.79,1447.84,"SP2"
