"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","buoy.id"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"12:00:00 AM",1.1,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"02:00:00 AM",1.19,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"04:00:00 AM",1.21,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"06:00:00 AM",1.47,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"08:00:00 AM",1.58,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"10:00:00 AM",1.46,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"12:00:00 PM",1.32,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"02:00:00 PM",1.73,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"04:00:00 PM",1.64,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"06:00:00 PM",1.69,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"08:00:00 PM",1.81,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,13,2022-04-13,"10:00:00 PM",1.77,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"12:00:00 AM",1.68,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"02:00:00 AM",2.31,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"04:00:00 AM",1.81,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"06:00:00 AM",1.96,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"08:00:00 AM",1.98,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"10:00:00 AM",1.97,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"12:00:00 PM",2.2,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"02:00:00 PM",1.57,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"04:00:00 PM",1.69,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"06:00:00 PM",1.82,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"08:00:00 PM",2.26,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,14,2022-04-14,"10:00:00 PM",2.38,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"12:00:00 AM",2.31,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"02:00:00 AM",1.17,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"04:00:00 AM",1.22,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"06:00:00 AM",1.65,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"08:00:00 AM",2.4,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"10:00:00 AM",2.4,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"12:00:00 PM",2.06,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"02:00:00 PM",1.65,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"04:00:00 PM",1.39,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"06:00:00 PM",1.33,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"08:00:00 PM",2.13,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,15,2022-04-15,"10:00:00 PM",2.31,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,16,2022-04-16,"12:00:00 AM",1.84,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,16,2022-04-16,"02:00:00 AM",1.53,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,16,2022-04-16,"04:00:00 AM",1.18,"SP2"
"Minilog-II-T","354244","Caribou, NS",10,"B",9,45.77464,62.67353,2022,4,16,2022-04-16,"06:00:00 AM",1.14,"SP2"
