"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","12:00:00 AM",1.65,25.85,23.14,1444.31,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","12:30:00 AM",1.73,25.8,23.15,1444.59,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","01:00:00 AM",1.77,25.77,23.15,1444.73,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","01:30:00 AM",1.69,25.76,23.09,1444.36,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","02:00:00 AM",1.65,25.76,23.06,1444.18,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","02:30:00 AM",1.73,25.71,23.07,1444.47,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","03:00:00 AM",1.81,25.7,23.12,1444.82,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","03:30:00 AM",1.93,25.67,23.17,1445.29,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","04:00:00 AM",1.97,25.67,23.2,1445.47,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","04:30:00 AM",1.93,25.65,23.16,1445.27,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","05:00:00 AM",1.93,25.64,23.15,1445.25,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","05:30:00 AM",1.97,25.62,23.16,1445.4,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","06:00:00 AM",2.01,25.65,23.21,1445.62,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","06:30:00 AM",2.12,25.63,23.27,1446.11,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","07:00:00 AM",2.24,25.61,23.33,1446.61,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","07:30:00 AM",2.39,25.53,23.37,1447.18,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","08:00:00 AM",2.47,25.56,23.45,1447.57,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","08:30:00 AM",2.55,25.55,23.48,1447.88,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","09:00:00 AM",2.62,25.55,23.53,1448.22,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","09:30:00 AM",2.66,25.56,23.57,1448.41,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","10:00:00 AM",2.74,25.56,23.63,1448.75,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","10:30:00 AM",2.93,25.52,23.72,1449.53,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","11:00:00 AM",3.15,25.41,23.78,1450.38,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","11:30:00 AM",3.12,25.31,23.67,1450.09,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","12:00:00 PM",2.96,25.36,23.61,1449.48,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","12:30:00 PM",2.96,25.36,23.61,1449.48,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","01:00:00 PM",3.04,25.38,23.67,1449.84,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","01:30:00 PM",2.96,25.42,23.66,1449.57,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","02:00:00 PM",2.93,25.41,23.62,1449.38,"JV"
"Star-Oddi DST CT","s11857","Cascumpeque, PEI",12,"B",11,46.79563,63.99395,2023,4,21,"2023-04-21","02:30:00 PM",2.93,25.37,23.59,1449.34,"JV"
