"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","12:00:00 AM",11.78,24.58,28.92,1483.37,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","12:30:00 AM",11.78,24.61,28.96,1483.41,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","01:00:00 AM",11.85,24.59,28.98,1483.6,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","01:30:00 AM",11.88,24.6,29.01,1483.73,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","02:00:00 AM",11.88,24.6,29.01,1483.73,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","02:30:00 AM",11.88,24.58,28.99,1483.71,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","03:00:00 AM",11.94,24.59,29.05,1483.95,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","03:30:00 AM",11.91,24.62,29.05,1483.87,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","04:00:00 AM",11.91,24.6,29.03,1483.84,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","04:30:00 AM",11.75,24.64,28.96,1483.32,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","05:00:00 AM",11.69,24.64,28.93,1483.11,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","05:30:00 AM",11.81,24.65,29.02,1483.56,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","06:00:00 AM",11.91,24.62,29.05,1483.87,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","06:30:00 AM",12,24.62,29.13,1484.21,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","07:00:00 AM",12.13,24.61,29.2,1484.64,"collecteur"
"Star-Oddi DST CT","s11839","Covehead 1, PEI",7,"B",7,46.4408,63.15933,2023,7,5,"2023-07-05","07:30:00 AM",12.29,24.59,29.29,1485.18,"collecteur"
