"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","12:00:00 AM",0.65,29.14,25.06,1444.13,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","12:30:00 AM",0.7,29.14,25.09,1444.31,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","01:00:00 AM",0.61,29.18,25.06,1444,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","01:30:00 AM",0.53,29.18,25.01,1443.63,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","02:00:00 AM",0.53,29.18,25.01,1443.63,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","02:30:00 AM",0.53,29.18,25.01,1443.63,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","03:00:00 AM",0.53,29.18,25.01,1443.63,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","03:30:00 AM",0.49,29.18,24.98,1443.45,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","04:00:00 AM",0.45,29.16,24.93,1443.24,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","04:30:00 AM",0.41,29.18,24.92,1443.08,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","05:00:00 AM",0.41,29.16,24.91,1443.05,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","05:30:00 AM",0.41,29.16,24.91,1443.05,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","06:00:00 AM",0.41,29.18,24.92,1443.08,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","06:30:00 AM",0.45,29.14,24.92,1443.21,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","07:00:00 AM",0.49,29.12,24.93,1443.37,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","07:30:00 AM",0.53,29.1,24.95,1443.53,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","08:00:00 AM",0.57,29.14,25,1443.76,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","08:30:00 AM",0.7,29.1,25.06,1444.26,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","09:00:00 AM",0.78,29.06,25.09,1444.57,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","09:30:00 AM",0.9,29.06,25.18,1445.12,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","10:00:00 AM",0.97,29.04,25.22,1445.45,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","10:30:00 AM",1.05,29.02,25.26,1445.79,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","11:00:00 AM",1.17,28.96,25.3,1446.25,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","11:30:00 AM",1.21,28.96,25.33,1446.43,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","12:00:00 PM",1.21,29,25.36,1446.48,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","12:30:00 PM",1.25,28.94,25.35,1446.59,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","01:00:00 PM",1.25,28.94,25.35,1446.59,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","01:30:00 PM",1.21,28.94,25.32,1446.41,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","02:00:00 PM",1.21,28.96,25.33,1446.43,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","02:30:00 PM",1.21,28.94,25.32,1446.41,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","03:00:00 PM",1.25,28.9,25.32,1446.53,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","03:30:00 PM",1.25,28.92,25.33,1446.56,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","04:00:00 PM",1.25,28.9,25.32,1446.53,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","04:30:00 PM",1.09,28.92,25.22,1445.84,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","05:00:00 PM",1.01,28.92,25.16,1445.48,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","05:30:00 PM",0.93,28.98,25.14,1445.2,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","06:00:00 PM",0.9,28.98,25.12,1445.01,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","06:30:00 PM",0.93,28.96,25.13,1445.17,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","07:00:00 PM",0.9,28.98,25.12,1445.01,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","07:30:00 PM",0.93,28.94,25.11,1445.14,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","08:00:00 PM",0.97,28.94,25.14,1445.33,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","08:30:00 PM",1.05,28.92,25.19,1445.66,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","09:00:00 PM",1.25,28.9,25.32,1446.53,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","09:30:00 PM",1.53,28.85,25.48,1447.71,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","10:00:00 PM",1.53,28.85,25.48,1447.71,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","10:30:00 PM",1.69,28.83,25.58,1448.39,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","11:00:00 PM",1.69,28.81,25.57,1448.37,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,20,"2023-04-20","11:30:00 PM",1.65,28.81,25.54,1448.19,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","12:00:00 AM",1.69,28.8,25.55,1448.34,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","12:30:00 AM",1.72,28.82,25.6,1448.54,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","01:00:00 AM",1.72,28.84,25.61,1448.57,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","01:30:00 AM",1.72,28.82,25.6,1448.54,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","02:00:00 AM",1.72,28.78,25.57,1448.49,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","02:30:00 AM",1.76,28.7,25.53,1448.57,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","03:00:00 AM",1.76,28.72,25.55,1448.59,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","03:30:00 AM",1.76,28.68,25.52,1448.54,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","04:00:00 AM",1.76,28.7,25.53,1448.57,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","04:30:00 AM",1.84,28.63,25.53,1448.82,"JJ"
"Star-Oddi DST CT","s11826","Covehead 2, PEI",13,"B",12,46.4484,63.1385,2023,4,21,"2023-04-21","05:00:00 AM",1.8,28.65,25.52,1448.67,"JJ"
