"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"08:00:00 PM",18.15,0.01,0,1475.85
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"08:30:00 PM",18.12,0.01,0,1475.75
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"09:00:00 PM",18.12,0.01,0,1475.75
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"09:30:00 PM",18.12,0.01,0,1475.75
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"10:00:00 PM",18.12,0.01,0,1475.75
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"10:30:00 PM",18.12,0.01,0,1475.75
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"11:00:00 PM",18.09,0.01,0,1475.66
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"11:30:00 PM",18.06,0.01,0,1475.56
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"12:00:00 AM",18.06,0.01,0,1475.56
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"12:30:00 AM",18.06,0.01,0,1475.56
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"01:00:00 AM",18.03,0.01,0,1475.46
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"01:30:00 AM",18,0.01,0,1475.36
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"02:00:00 AM",17.97,0.01,0,1475.27
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"02:30:00 AM",18,0.01,0,1475.36
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"03:00:00 AM",17.97,0.01,0,1475.27
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"03:30:00 AM",17.94,0.01,0,1475.17
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"04:00:00 AM",17.94,0.01,0,1475.17
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"04:30:00 AM",17.94,0.01,0,1475.17
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"05:00:00 AM",17.97,0.01,0,1475.27
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"05:30:00 AM",17.97,0.01,0,1475.27
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"06:00:00 AM",18,0.01,0,1475.36
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"06:30:00 AM",18.06,0.01,0,1475.56
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"07:00:00 AM",18.15,0.01,0,1475.85
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"07:30:00 AM",18.18,0.01,0,1475.95
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"08:00:00 AM",18.18,0.01,0,1475.95
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"08:30:00 AM",18.18,0.01,0,1475.95
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"09:00:00 AM",18.21,0.01,0,1476.05
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"09:30:00 AM",18.33,0.01,0,1476.43
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"10:00:00 AM",18.45,0.01,0,1476.82
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"10:30:00 AM",18.51,0.01,0,1477.01
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"11:00:00 AM",18.54,0.01,0,1477.11
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"11:30:00 AM",18.57,0.01,0,1477.2
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"12:00:00 PM",18.57,0.01,0,1477.2
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"12:30:00 PM",18.6,0.01,0,1477.3
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"01:00:00 PM",18.62,0.01,0,1477.39
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"01:30:00 PM",18.68,0.01,0,1477.59
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"02:00:00 PM",18.68,0.01,0,1477.59
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"02:30:00 PM",18.68,0.01,0,1477.59
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"03:00:00 PM",18.65,0.01,0,1477.49
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"03:30:00 PM",18.65,0.01,0,1477.49
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"04:00:00 PM",18.62,0.01,0,1477.39
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"04:30:00 PM",18.6,0.01,0,1477.3
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"05:00:00 PM",18.6,0.01,0,1477.3
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"05:30:00 PM",18.57,0.01,0,1477.2
"Star-Oddi DST CT","S11839","Covehead, P.E.I.",7,"B",7,46.4408,63.15933,2022,7,1,2022-07-01,"06:00:00 PM",18.51,0.01,0,1477.01
