"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","12:00:00 AM",14.2,25.81,32.03,1493.17,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","12:30:00 AM",14.2,25.81,32.03,1493.17,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","01:00:00 AM",14.2,25.77,31.99,1493.13,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","01:30:00 AM",14.17,25.78,31.97,1493.03,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","02:00:00 AM",14.17,25.76,31.95,1493,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","02:30:00 AM",14.11,25.76,31.91,1492.8,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","03:00:00 AM",14.02,25.77,31.85,1492.5,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","03:30:00 AM",14.02,25.77,31.85,1492.5,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","04:00:00 AM",13.92,25.76,31.77,1492.18,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","04:30:00 AM",14.08,25.79,31.91,1492.73,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","05:00:00 AM",14.17,25.78,31.97,1493.03,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","05:30:00 AM",14.17,25.78,31.97,1493.03,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","06:00:00 AM",14.17,25.78,31.97,1493.03,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","06:30:00 AM",14.2,25.75,31.97,1493.1,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","07:00:00 AM",14.2,25.75,31.97,1493.1,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","07:30:00 AM",14.17,25.74,31.93,1492.98,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","08:00:00 AM",14.14,25.76,31.93,1492.9,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","08:30:00 AM",14.14,25.76,31.93,1492.9,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2023,6,27,"2023-06-27","09:00:00 AM",14.14,25.74,31.91,1492.88,"collecteur"
