"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"12:00:00 AM",15.95,25.97,33.54,1499.05,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"12:29:59 AM",15.95,25.97,33.54,1499.05,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"01:00:00 AM",15.92,25.97,33.52,1498.95,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"01:30:00 AM",15.86,25.99,33.5,1498.78,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"01:59:59 AM",15.86,25.97,33.47,1498.76,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"02:30:00 AM",15.89,25.97,33.49,1498.85,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"03:00:00 AM",15.92,25.97,33.52,1498.95,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"03:29:59 AM",15.95,25.95,33.51,1499.02,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"04:00:00 AM",16.01,25.95,33.56,1499.21,"collecteur"
"Star-Oddi DST CT","s11837","Egmont Bay, PEI",8,"B",8,46.4562,64.13182,2024,6,25,2024-06-25,"04:30:00 AM",16.01,25.95,33.56,1499.21,"collecteur"
