"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"08:00:00 PM",18.63,27.63,37.65,1509.15
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"08:30:00 PM",18.6,27.66,37.65,1509.09
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"09:00:00 PM",18.54,27.65,37.59,1508.91
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"09:30:00 PM",18.36,27.68,37.48,1508.42
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"10:00:00 PM",18.24,27.62,37.31,1507.99
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"10:30:00 PM",18.18,27.66,37.31,1507.86
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"11:00:00 PM",18.18,27.64,37.28,1507.84
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"11:30:00 PM",18.15,27.68,37.32,1507.8
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"12:00:00 AM",18.15,27.66,37.28,1507.77
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"12:30:00 AM",18.12,27.65,37.26,1507.68
"Star-Oddi DST CT","S11837","Egmont Bay, P.E.I.",8,"B",8,46.4562,64.13182,2022,7,1,2022-07-01,"01:00:00 AM",18.15,27.66,37.28,1507.77
