"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","12:00:00 AM",8.63,28.36,30.44,1476.47,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","12:30:00 AM",8.63,28.38,30.46,1476.5,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","01:00:00 AM",8.66,28.41,30.52,1476.67,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","01:30:00 AM",8.7,28.45,30.58,1476.84,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","02:00:00 AM",8.73,28.42,30.57,1476.93,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","02:30:00 AM",8.77,28.41,30.59,1477.05,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","03:00:00 AM",8.77,28.41,30.59,1477.05,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","03:30:00 AM",8.87,28.39,30.65,1477.4,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","04:00:00 AM",9.04,28.35,30.74,1477.99,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","04:30:00 AM",9.1,28.38,30.82,1478.27,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","05:00:00 AM",9.27,28.32,30.9,1478.83,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","05:30:00 AM",9.54,28.33,31.11,1479.83,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","06:00:00 AM",9.7,28.34,31.25,1480.46,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","06:30:00 AM",9.83,28.31,31.33,1480.92,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","07:00:00 AM",10.1,28.3,31.53,1481.88,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","07:30:00 AM",10.46,28.28,31.8,1483.17,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","08:00:00 AM",10.49,28.23,31.77,1483.23,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","08:30:00 AM",10,28.26,31.41,1481.46,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","09:00:00 AM",9.6,28.25,31.09,1479.98,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","09:30:00 AM",9.3,28.29,30.89,1478.92,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","10:00:00 AM",9.2,28.31,30.84,1478.57,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","10:30:00 AM",9.04,28.35,30.74,1477.99,"collecteur"
"Star-Oddi DST CT","s11840","Fortune 1, PEI",9,"B",9,46.30181,62.33591,2023,7,2,"2023-07-02","11:00:00 AM",9.04,28.3,30.7,1477.93,"collecteur"
