"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","12:00:00 AM",8.02,28.04,29.66,1473.74,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","12:30:00 AM",8.09,28,29.67,1473.95,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","01:00:00 AM",8.16,28.01,29.73,1474.22,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","01:30:00 AM",8.19,28.02,29.77,1474.37,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","02:00:00 AM",8.22,27.99,29.77,1474.46,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","02:30:00 AM",8.22,28.01,29.79,1474.49,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","03:00:00 AM",8.02,28.04,29.66,1473.74,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","03:30:00 AM",7.85,28.08,29.57,1473.13,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","04:00:00 AM",7.82,28.05,29.51,1472.95,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","04:30:00 AM",7.78,28.1,29.53,1472.89,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","05:00:00 AM",7.78,28.08,29.51,1472.86,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","05:30:00 AM",7.78,28.1,29.53,1472.89,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","06:00:00 AM",7.71,28.12,29.49,1472.64,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","06:30:00 AM",7.64,28.09,29.42,1472.34,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","07:00:00 AM",7.4,28.17,29.31,1471.51,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","07:30:00 AM",7.37,28.16,29.28,1471.36,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","08:00:00 AM",7.3,28.18,29.24,1471.11,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","08:30:00 AM",7.3,28.2,29.26,1471.14,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","09:00:00 AM",7.37,28.16,29.28,1471.36,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","09:30:00 AM",7.58,28.15,29.42,1472.15,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","10:00:00 AM",7.51,28.15,29.37,1471.88,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","10:30:00 AM",7.37,28.2,29.32,1471.41,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","11:00:00 AM",7.37,28.2,29.32,1471.41,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","11:30:00 AM",7.37,28.18,29.3,1471.38,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","12:00:00 PM",7.4,28.2,29.33,1471.53,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","12:30:00 PM",7.47,27.97,29.17,1471.52,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","01:00:00 PM",7.51,28.11,29.33,1471.83,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","01:30:00 PM",7.68,28.14,29.5,1472.54,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","02:00:00 PM",7.75,28.15,29.55,1472.82,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","02:30:00 PM",7.78,28.14,29.57,1472.94,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","03:00:00 PM",7.78,28.12,29.55,1472.91,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","03:30:00 PM",7.75,28.15,29.55,1472.82,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","04:00:00 PM",7.71,28.14,29.51,1472.67,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","04:30:00 PM",7.78,28.12,29.55,1472.91,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","05:00:00 PM",7.78,28.12,29.55,1472.91,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","05:30:00 PM",7.78,28.12,29.55,1472.91,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","06:00:00 PM",7.99,28.09,29.68,1473.67,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","06:30:00 PM",8.02,28.08,29.7,1473.79,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","07:00:00 PM",8.12,28.08,29.77,1474.18,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","07:30:00 PM",8.22,28.05,29.83,1474.54,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","08:00:00 PM",8.36,28.04,29.92,1475.05,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","08:30:00 PM",8.5,28.01,30,1475.53,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","09:00:00 PM",8.53,28,30.02,1475.65,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","09:30:00 PM",8.53,28.03,30.04,1475.67,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","10:00:00 PM",8.6,27.97,30.03,1475.86,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","10:30:00 PM",8.6,27.99,30.05,1475.88,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","11:00:00 PM",8.63,28,30.09,1476.03,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,2,"2023-07-02","11:30:00 PM",8.7,27.97,30.11,1476.24,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","12:00:00 AM",8.63,27.96,30.05,1475.98,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","12:30:00 AM",8.39,28.01,29.92,1475.14,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","01:00:00 AM",8.33,28.03,29.88,1474.9,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","01:30:00 AM",8.33,27.9,29.76,1474.74,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","02:00:00 AM",8.22,28.01,29.79,1474.49,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","02:30:00 AM",8.22,28.05,29.83,1474.54,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","03:00:00 AM",8.26,28.05,29.85,1474.66,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","03:30:00 AM",8.29,28.06,29.89,1474.81,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","04:00:00 AM",8.29,28.06,29.89,1474.81,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","04:30:00 AM",8.33,28.05,29.9,1474.93,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","05:00:00 AM",8.29,28.06,29.89,1474.81,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","05:30:00 AM",7.37,28.25,29.35,1471.46,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","06:00:00 AM",7.06,28.33,29.19,1470.34,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","06:30:00 AM",6.92,28.33,29.08,1469.79,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","07:00:00 AM",6.88,28.34,29.07,1469.66,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2023,7,3,"2023-07-03","07:30:00 AM",6.95,28.32,29.1,1469.92,"collecteur"
