"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"12:00:00 AM",12.98,28.56,34.1,1492.37,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"12:29:59 AM",12.95,28.56,34.08,1492.26,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"01:00:00 AM",12.95,28.56,34.08,1492.26,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"01:30:00 AM",13.08,28.55,34.18,1492.69,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"01:59:59 AM",13.2,28.53,34.25,1493.08,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"02:30:00 AM",13.3,28.52,34.32,1493.39,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"03:00:00 AM",13.39,28.5,34.37,1493.68,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"03:29:59 AM",13.45,28.5,34.42,1493.89,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"04:00:00 AM",13.14,28.5,34.17,1492.84,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"04:30:00 AM",13.11,28.48,34.12,1492.7,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"04:59:59 AM",13.05,28.51,34.1,1492.52,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"05:30:00 AM",12.76,28.52,33.88,1491.57,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"06:00:00 AM",12.7,28.54,33.86,1491.39,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"06:29:59 AM",12.67,28.54,33.83,1491.28,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"07:00:00 AM",12.64,28.55,33.81,1491.17,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"07:30:00 AM",12.61,28.55,33.79,1491.07,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"07:59:59 AM",12.61,28.52,33.76,1491.04,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"08:30:00 AM",12.61,28.52,33.76,1491.04,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"09:00:00 AM",12.57,28.52,33.74,1490.93,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"09:29:59 AM",12.54,28.53,33.71,1490.82,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"10:00:00 AM",12.48,28.5,33.64,1490.58,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"10:30:00 AM",12.42,28.53,33.62,1490.4,"collecteur"
"Star-Oddi DST CT","s11841","Fortune 2, PEI",21,"B",21,46.30228,62.30926,2024,6,30,2024-06-30,"10:59:59 AM",12.35,28.54,33.57,1490.18,"collecteur"
