"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"08:00:00 PM",18.11,0.01,0,1475.72
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"08:30:00 PM",18.11,0.01,0,1475.72
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"09:00:00 PM",18.08,0.01,0,1475.62
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"09:30:00 PM",18.08,0.01,0,1475.62
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"10:00:00 PM",18.08,0.01,0,1475.62
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"10:30:00 PM",18.05,0.01,0,1475.52
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"11:00:00 PM",18.05,0.01,0,1475.52
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"11:30:00 PM",18.02,0.01,0,1475.42
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"12:00:00 AM",18.02,0.01,0,1475.42
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"12:30:00 AM",18.02,0.01,0,1475.42
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"01:00:00 AM",17.99,0.01,0,1475.33
"Star-Oddi DST CT","S11841","Fortune, P.E.I.",21,"B",21,46.30228,62.30926,2022,7,1,2022-07-01,"01:30:00 AM",17.96,0.01,0,1475.23
