"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","12:00:00 AM",0.62,100,170.26,1538.46,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","12:30:00 AM",0.66,100,170.26,1538.61,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","01:00:00 AM",0.7,100,170.26,1538.76,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","01:30:00 AM",0.7,100,170.26,1538.76,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","02:00:00 AM",0.7,100,170.26,1538.76,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","02:30:00 AM",0.7,100,170.26,1538.76,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","03:00:00 AM",0.73,100,170.26,1538.92,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","03:30:00 AM",0.73,100,170.26,1538.92,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","04:00:00 AM",0.73,100,170.26,1538.92,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","04:30:00 AM",0.73,100,170.26,1538.92,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","05:00:00 AM",0.62,100,170.26,1538.46,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","05:30:00 AM",0.54,100,170.26,1538.15,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","06:00:00 AM",0.5,100,170.26,1537.99,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","06:30:00 AM",0.17,100,170.26,1536.74,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","07:00:00 AM",0.09,100,170.26,1536.43,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","07:30:00 AM",-0.11,100,170.26,1535.63,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","08:00:00 AM",-0.23,100,170.26,1535.15,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","08:30:00 AM",-0.27,100,170.26,1534.99,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","09:00:00 AM",-0.31,100,170.26,1534.83,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","09:30:00 AM",-0.27,100,170.26,1534.99,"N8"
"Star-Oddi DST CT","s11248","Indian Rocks, PEI",20,"B",19,45.91507,62.8199,2022,4,13,"2022-04-13","10:00:00 AM",-0.19,100,170.26,1535.32,"N8"
