"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","12:00:00 AM",1.37,28.13,24.78,1446.01,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","12:30:00 AM",1.33,28.16,24.78,1445.89,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","01:00:00 AM",1.33,28.16,24.78,1445.89,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","01:30:00 AM",1.33,28.16,24.78,1445.89,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","02:00:00 AM",1.21,28.31,24.81,1445.54,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","02:30:00 AM",1.17,28.3,24.77,1445.35,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","03:00:00 AM",1.17,28.32,24.79,1445.37,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","03:30:00 AM",1.17,28.32,24.79,1445.37,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","04:00:00 AM",1.17,28.28,24.76,1445.33,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","04:30:00 AM",1.09,28.34,24.75,1445.04,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","05:00:00 AM",1.05,28.35,24.73,1444.87,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","05:30:00 AM",1.05,28.35,24.73,1444.87,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","06:00:00 AM",1.05,28.35,24.73,1444.87,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","06:30:00 AM",1.01,28.36,24.7,1444.7,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","07:00:00 AM",1.01,28.36,24.7,1444.7,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","07:30:00 AM",1.05,28.33,24.71,1444.85,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","08:00:00 AM",1.09,28.33,24.74,1445.02,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","08:30:00 AM",1.09,28.33,24.74,1445.02,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","09:00:00 AM",1.13,28.3,24.75,1445.17,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","09:30:00 AM",1.29,28.25,24.82,1445.82,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","10:00:00 AM",1.29,28.27,24.83,1445.84,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","10:30:00 AM",1.33,28.26,24.86,1446.01,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","11:00:00 AM",1.44,28.2,24.89,1446.46,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","11:30:00 AM",1.52,28.14,24.9,1446.74,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","12:00:00 PM",1.68,28.04,24.93,1447.31,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","12:30:00 PM",1.6,28.08,24.91,1447.02,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","01:00:00 PM",1.56,28.05,24.86,1446.81,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","01:30:00 PM",1.52,28.01,24.8,1446.57,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","02:00:00 PM",1.48,27.98,24.75,1446.36,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","02:30:00 PM",1.52,27.95,24.75,1446.49,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","03:00:00 PM",1.6,27.94,24.8,1446.83,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","03:30:00 PM",1.64,27.93,24.82,1447,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","04:00:00 PM",1.6,27.97,24.82,1446.87,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","04:30:00 PM",1.48,28.13,24.86,1446.55,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","05:00:00 PM",1.44,28.15,24.85,1446.4,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","05:30:00 PM",1.44,28.16,24.87,1446.42,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","06:00:00 PM",1.44,28.15,24.85,1446.4,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","06:30:00 PM",1.44,28.16,24.87,1446.42,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","07:00:00 PM",1.44,28.18,24.88,1446.44,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","07:30:00 PM",1.48,28.14,24.88,1446.57,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","08:00:00 PM",1.48,28.16,24.89,1446.59,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","08:30:00 PM",1.48,28.14,24.88,1446.57,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","09:00:00 PM",1.48,28.13,24.86,1446.55,"VU4"
"Star-Oddi DST CT","s11830","Jack Shoal, NS",17,"B",16,45.72256,61.54981,2023,4,29,"2023-04-29","09:30:00 PM",1.48,28.13,24.86,1446.55,"VU4"
