"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","12:00:00 AM",3.07,24.86,23.25,1449.28,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","12:30:00 AM",3.03,24.88,23.24,1449.13,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","01:00:00 AM",2.99,24.85,23.19,1448.93,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","01:30:00 AM",2.95,24.85,23.16,1448.76,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","02:00:00 AM",2.91,24.88,23.16,1448.64,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","02:30:00 AM",2.91,24.8,23.1,1448.54,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","03:00:00 AM",2.88,24.91,23.17,1448.51,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","03:30:00 AM",2.88,24.85,23.11,1448.43,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","04:00:00 AM",2.84,24.86,23.1,1448.28,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","04:30:00 AM",2.84,24.86,23.1,1448.28,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","05:00:00 AM",2.84,24.82,23.06,1448.22,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","05:30:00 AM",2.84,24.85,23.09,1448.26,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","06:00:00 AM",2.8,24.88,23.09,1448.14,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","06:30:00 AM",2.8,24.87,23.08,1448.12,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","07:00:00 AM",2.8,24.88,23.09,1448.14,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","07:30:00 AM",2.8,24.88,23.09,1448.14,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","08:00:00 AM",2.84,24.77,23.03,1448.16,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","08:30:00 AM",2.84,24.68,22.95,1448.05,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","09:00:00 AM",2.91,24.58,22.91,1448.24,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","09:30:00 AM",2.91,24.55,22.88,1448.2,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","10:00:00 AM",2.91,24.5,22.85,1448.14,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","10:30:00 AM",2.91,24.07,22.47,1447.57,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","11:00:00 AM",2.95,24.08,22.51,1447.76,""
"Star-Oddi DST CT","s118483","Le Goulet, NB",9,"B",8,47.7106,64.6572,2023,4,23,"2023-04-23","11:30:00 AM",2.95,25.08,23.36,1449.06,""
