"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"12:00:00 AM",0.52,9.07,8.51,1416.7,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"12:29:59 AM",0.52,9.08,8.52,1416.72,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"01:00:00 AM",0.56,9.07,8.52,1416.9,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"01:30:00 AM",0.48,9.1,8.52,1416.54,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"01:59:59 AM",0.43,9.11,8.52,1416.37,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"02:30:00 AM",0.48,9.08,8.51,1416.52,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"03:00:00 AM",0.56,9.07,8.52,1416.9,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"03:29:59 AM",0.6,9.06,8.52,1417.08,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"04:00:00 AM",0.6,9.04,8.51,1417.06,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"04:30:00 AM",0.64,9.05,8.52,1417.25,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"04:59:59 AM",0.68,9.04,8.52,1417.43,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"05:30:00 AM",0.64,9.05,8.52,1417.25,"VJ"
"Star-Oddi DST CT","s11243","Mabou Harbour, NS",13,"B",12,46.09141,61.49111,2024,4,1,2024-04-01,"06:00:00 AM",0.64,9.05,8.52,1417.25,"VJ"
