"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","12:00:00 AM",1.46,29.79,26.18,1448.65,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","12:30:00 AM",1.42,29.79,26.16,1448.48,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","01:00:00 AM",1.58,29.78,26.26,1449.16,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","01:30:00 AM",1.5,29.77,26.19,1448.79,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","02:00:00 AM",1.54,29.78,26.23,1448.99,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","02:30:00 AM",1.46,29.79,26.18,1448.65,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","03:00:00 AM",1.3,29.84,26.11,1448.01,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","03:30:00 AM",1.54,29.76,26.22,1448.96,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","04:00:00 AM",1.62,29.7,26.23,1449.23,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","04:30:00 AM",1.54,29.71,26.18,1448.89,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","05:00:00 AM",1.46,29.75,26.15,1448.6,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","05:30:00 AM",1.58,29.71,26.2,1449.06,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","06:00:00 AM",1.54,29.71,26.18,1448.89,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","06:30:00 AM",1.54,29.73,26.19,1448.92,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","07:00:00 AM",1.66,29.71,26.27,1449.42,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","07:30:00 AM",1.77,29.65,26.31,1449.86,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","08:00:00 AM",1.77,29.69,26.34,1449.91,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","08:30:00 AM",1.81,29.65,26.33,1450.03,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","09:00:00 AM",1.62,29.7,26.23,1449.23,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","09:30:00 AM",1.69,29.71,26.3,1449.59,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","10:00:00 AM",1.77,29.65,26.31,1449.86,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","10:30:00 AM",1.77,29.69,26.34,1449.91,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","11:00:00 AM",2.08,29.59,26.49,1451.16,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","11:30:00 AM",2.01,29.58,26.42,1450.8,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","12:00:00 PM",2.01,29.56,26.41,1450.78,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","12:30:00 PM",2.24,29.36,26.43,1451.54,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","01:00:00 PM",2.2,29.38,26.41,1451.4,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","01:30:00 PM",2.66,29.19,26.61,1453.18,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","02:00:00 PM",2.66,29.16,26.58,1453.13,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","02:30:00 PM",2.77,29.22,26.72,1453.71,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","03:00:00 PM",2.58,29.27,26.61,1452.94,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","03:30:00 PM",2.47,29.67,26.85,1452.96,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","04:00:00 PM",2.35,29.5,26.62,1452.23,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","04:30:00 PM",2.04,29.61,26.48,1451.01,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","05:00:00 PM",2.12,29.57,26.5,1451.3,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","05:30:00 PM",2.31,29.57,26.65,1452.16,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","06:00:00 PM",2.2,29.56,26.56,1451.63,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","06:30:00 PM",2.16,29.62,26.57,1451.54,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","07:00:00 PM",2.2,29.65,26.63,1451.75,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","07:30:00 PM",2.24,29.61,26.63,1451.87,"JP"
"Star-Oddi DST CT","s11832","Malpeque, PEI",17,"B",16,46.58339,63.61881,2023,4,20,"2023-04-20","08:00:00 PM",2.12,29.62,26.55,1451.37,"JP"
