"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","12:00:00 AM",2.1,29.1,26.11,1450.6,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","12:30:00 AM",2.22,29.05,26.15,1451.05,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","01:00:00 AM",2.53,28.8,26.18,1452.07,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","01:30:00 AM",2.45,28.83,26.15,1451.78,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","02:00:00 AM",2.33,28.92,26.13,1451.39,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","02:30:00 AM",2.37,28.88,26.13,1451.51,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","03:00:00 AM",2.3,28.94,26.12,1451.24,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","03:30:00 AM",2.26,28.95,26.1,1451.09,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","04:00:00 AM",2.18,28.97,26.06,1450.77,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","04:30:00 AM",2.14,28.98,26.04,1450.62,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","05:00:00 AM",2.03,29.04,26,1450.17,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","05:30:00 AM",1.95,29.07,25.97,1449.88,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","06:00:00 AM",1.75,29.14,25.88,1449.1,"JP"
"Star-Oddi DST CT","s11833","Malpeque, PEI",17,"S",1,46.58339,63.61881,2023,4,20,"2023-04-20","06:30:00 AM",1.79,29.14,25.91,1449.28,"JP"
