"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","12:15:00 AM",2.37,29.96,27.01,1452.9,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","12:45:00 AM",2.33,29.96,26.98,1452.73,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","01:15:00 AM",2.37,29.99,27.04,1452.94,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","01:45:00 AM",2.41,29.99,27.07,1453.11,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","02:15:00 AM",2.44,29.92,27.04,1453.19,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","02:45:00 AM",2.44,29.92,27.04,1453.19,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","03:15:00 AM",2.41,29.89,26.98,1452.97,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","03:45:00 AM",2.37,29.92,26.98,1452.85,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","04:15:00 AM",2.33,29.92,26.95,1452.68,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","04:45:00 AM",2.33,29.92,26.95,1452.68,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","05:15:00 AM",2.33,29.92,26.95,1452.68,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","05:45:00 AM",2.33,29.92,26.95,1452.68,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","06:15:00 AM",2.29,29.92,26.93,1452.51,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","06:45:00 AM",2.33,29.92,26.95,1452.68,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","07:15:00 AM",2.37,29.89,26.95,1452.8,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","07:45:00 AM",2.44,29.92,27.04,1453.19,""
"Star-Oddi DST CT","s12306","Miminegash, PEI",10,"B",9,46.9005,64.2381,2023,4,20,"2023-04-20","08:15:00 AM",2.44,29.89,27.01,1453.14,""
