"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","12:00:00 AM",1.22,18.12,16.49,1432.09,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","12:30:00 AM",1.7,17.97,16.6,1434.07,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","01:00:00 AM",1.97,17.9,16.67,1435.23,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","01:30:00 AM",2.12,17.89,16.73,1435.92,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","02:00:00 AM",2.16,17.87,16.74,1436.08,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","02:30:00 AM",2.16,17.89,16.76,1436.1,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","03:00:00 AM",1.81,17.95,16.63,1434.58,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","03:30:00 AM",1.7,17.92,16.55,1434.01,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","04:00:00 AM",1.46,17.96,16.48,1432.98,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","04:30:00 AM",1.14,18.1,16.44,1431.69,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","05:00:00 AM",0.38,18.62,16.49,1428.82,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","05:30:00 AM",0.26,18.63,16.44,1428.26,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","06:00:00 AM",0.18,18.77,16.51,1428.06,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","06:30:00 AM",0.1,18.98,16.65,1427.96,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","07:00:00 AM",-0.07,19.42,16.91,1427.77,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","07:30:00 AM",-0.07,19.42,16.91,1427.77,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","08:00:00 AM",-0.11,19.6,17.04,1427.82,"EB"
"Star-Oddi DST CT","s11894","Miscou, NB",15,"B",14,48.03061,64.54602,2023,4,24,"2023-04-24","08:30:00 AM",-0.11,19.59,17.03,1427.81,"EB"
