"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","12:00:00 AM",12.9,29.14,34.66,1492.8,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","12:30:00 AM",12.9,29.14,34.66,1492.8,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","01:00:00 AM",12.74,29.17,34.57,1492.3,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","01:30:00 AM",12.74,29.17,34.57,1492.3,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","02:00:00 AM",12.81,29.15,34.59,1492.48,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","02:30:00 AM",12.93,29.14,34.69,1492.9,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","03:00:00 AM",13.03,29.14,34.76,1493.22,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","03:30:00 AM",12.93,29.14,34.69,1492.9,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","04:00:00 AM",12.81,29.07,34.51,1492.39,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","04:30:00 AM",12.9,29.12,34.64,1492.77,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","05:00:00 AM",12.87,29.14,34.64,1492.69,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","05:30:00 AM",13.12,29.16,34.87,1493.57,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","06:00:00 AM",13.28,29.13,34.96,1494.06,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","06:30:00 AM",13.5,29.13,35.14,1494.79,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","07:00:00 AM",13.47,29.15,35.15,1494.72,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","07:30:00 AM",13.34,29.11,34.99,1494.24,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","08:00:00 AM",13.22,29.13,34.91,1493.85,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2023,7,2,"2023-07-02","08:30:00 AM",13.28,29.11,34.94,1494.03,"collecteur"
