"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"12:00:00 AM",14.37,28.95,35.67,1497.47,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"12:29:59 AM",14.46,28.95,35.75,1497.77,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:00:00 AM",14.49,28.95,35.78,1497.87,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:30:00 AM",14.46,28.93,35.72,1497.74,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:59:59 AM",14.43,28.93,35.69,1497.64,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"02:30:00 AM",14.18,28.87,35.43,1496.76,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"03:00:00 AM",13.4,28.16,34.01,1493.31,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"03:29:59 AM",13.12,29.11,34.81,1493.5,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:00:00 AM",12.96,29.12,34.69,1492.98,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:30:00 AM",12.36,29.12,34.2,1490.93,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:59:59 AM",12.01,29.19,33.99,1489.8,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"05:30:00 AM",12.24,29.2,34.18,1490.59,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"06:00:00 AM",12.01,29.14,33.93,1489.74,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"06:29:59 AM",11.53,29.14,33.53,1488.05,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:00:00 AM",11.08,29.26,33.29,1486.6,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:30:00 AM",10.92,29.23,33.13,1485.99,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:59:59 AM",10.66,29.28,32.97,1485.13,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"08:30:00 AM",10.59,29.29,32.93,1484.9,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"09:00:00 AM",10.59,29.27,32.91,1484.87,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"09:29:59 AM",10.56,29.25,32.86,1484.73,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:00:00 AM",10.63,29.29,32.95,1485.01,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:30:00 AM",10.76,29.22,32.99,1485.4,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:59:59 AM",11.08,29.21,33.24,1486.54,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"11:30:00 AM",11.34,29.18,33.42,1487.42,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"12:00:00 PM",11.37,29.18,33.44,1487.53,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"12:29:59 PM",11.24,29.19,33.35,1487.09,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:00:00 PM",11.28,29.19,33.38,1487.2,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:30:00 PM",11.34,29.18,33.42,1487.42,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"01:59:59 PM",11.31,29.11,33.32,1487.23,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"02:30:00 PM",11.05,29.19,33.19,1486.4,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"03:00:00 PM",10.89,29.21,33.08,1485.85,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"03:29:59 PM",10.79,29.17,32.96,1485.45,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:00:00 PM",10.43,29.24,32.75,1484.25,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:30:00 PM",10.24,29.27,32.62,1483.57,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"04:59:59 PM",10.04,29.28,32.46,1482.86,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"05:30:00 PM",9.87,29.3,32.36,1482.29,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"06:00:00 PM",9.94,29.29,32.4,1482.52,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"06:29:59 PM",10.14,29.26,32.53,1483.2,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:00:00 PM",10.3,29.24,32.64,1483.77,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:30:00 PM",10.07,29.25,32.46,1482.95,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"07:59:59 PM",10.1,29.24,32.48,1483.06,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"08:30:00 PM",10.27,29.27,32.64,1483.69,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"09:00:00 PM",10.33,29.23,32.66,1483.88,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"09:29:59 PM",10.24,29.25,32.59,1483.54,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:00:00 PM",10.2,29.25,32.57,1483.43,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:30:00 PM",10.1,29.27,32.51,1483.09,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"10:59:59 PM",10.04,29.3,32.49,1482.89,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,6,30,2024-06-30,"11:30:00 PM",10.07,29.25,32.46,1482.95,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,7,1,2024-07-01,"12:00:00 AM",10.17,29.28,32.57,1483.35,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,7,1,2024-07-01,"12:29:59 AM",10.04,29.28,32.46,1482.86,"collecteur"
"Star-Oddi DST CT","s11836","Murray Harbour, PEI",8,"B",8,46.0544,62.4553,2024,7,1,2024-07-01,"01:00:00 AM",10.04,29.25,32.44,1482.83,"collecteur"
