"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec"
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"08:00:00 PM",18.16,1.83,3.02,1478
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"08:30:00 PM",18.13,1.86,3.07,1477.94
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"09:00:00 PM",18.13,1.86,3.07,1477.94
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"09:30:00 PM",18.13,1.86,3.07,1477.94
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"10:00:00 PM",18.1,1.87,3.07,1477.84
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"10:30:00 PM",18.1,1.87,3.07,1477.84
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"11:00:00 PM",18.1,1.87,3.07,1477.84
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"11:30:00 PM",18.07,1.9,3.11,1477.78
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"12:00:00 AM",18.07,1.9,3.11,1477.78
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"12:30:00 AM",18.07,1.9,3.11,1477.78
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"01:00:00 AM",18.04,1.9,3.11,1477.69
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"01:30:00 AM",18.04,1.9,3.11,1477.69
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"02:00:00 AM",18.01,1.9,3.11,1477.59
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"02:30:00 AM",18.01,1.9,3.11,1477.59
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"03:00:00 AM",17.98,1.9,3.11,1477.5
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"03:30:00 AM",17.98,1.9,3.11,1477.5
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"04:00:00 AM",17.95,1.9,3.11,1477.4
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"04:30:00 AM",17.95,1.9,3.11,1477.4
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"05:00:00 AM",17.95,1.9,3.11,1477.4
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"05:30:00 AM",17.98,1.9,3.11,1477.5
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"06:00:00 AM",18.01,1.9,3.11,1477.59
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"06:30:00 AM",18.07,1.9,3.11,1477.78
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"07:00:00 AM",18.13,1.86,3.07,1477.94
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"07:30:00 AM",18.19,1.86,3.07,1478.13
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"08:00:00 AM",18.22,1.86,3.07,1478.23
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"08:30:00 AM",18.22,1.86,3.07,1478.23
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"09:00:00 AM",18.22,1.86,3.07,1478.23
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"09:30:00 AM",18.28,1.86,3.07,1478.42
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"10:00:00 AM",18.34,1.83,3.02,1478.57
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"10:30:00 AM",18.4,1.79,2.97,1478.72
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"11:00:00 AM",18.43,1.79,2.97,1478.82
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"11:30:00 AM",18.49,1.82,3.02,1479.04
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"12:00:00 PM",18.49,1.82,3.02,1479.04
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"12:30:00 PM",18.52,1.82,3.02,1479.14
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"01:00:00 PM",18.55,1.82,3.02,1479.23
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"01:30:00 PM",18.58,1.75,2.92,1479.26
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"02:00:00 PM",18.61,1.75,2.92,1479.35
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"02:30:00 PM",18.64,1.75,2.92,1479.44
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"03:00:00 PM",18.64,1.75,2.92,1479.44
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"03:30:00 PM",18.64,1.75,2.92,1479.44
"Star-Oddi DST CT","S11836","Murray Harbour, P.E.I.",8,"B",8,46.0544,62.4553,2022,7,1,2022-07-01,"04:00:00 PM",18.61,1.78,2.97,1479.38
