"recorder","serial.number","site","site.depth.m","surface.bottom","log.depth.m","latitude","longitude","year","month","day","date","time","temperature","salinity.psu","conduct.ms.cm","sound.velocity.m.sec","buoy.id"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"12:00:00 AM",18.2,5.45,8.4,1482.3,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"12:29:59 AM",17.75,5.54,8.45,1480.96,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"01:00:00 AM",17.33,5.61,8.47,1479.68,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"01:30:00 AM",16.91,5.7,8.51,1478.4,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"01:59:59 AM",16.52,5.8,8.57,1477.21,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"02:30:00 AM",16.19,5.85,8.57,1476.15,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"03:00:00 AM",15.85,5.93,8.61,1475.12,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"03:29:59 AM",15.48,6,8.63,1473.95,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"04:00:00 AM",15.18,6.07,8.67,1472.99,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"04:30:00 AM",14.99,6.12,8.69,1472.41,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"04:59:59 AM",14.93,6.13,8.69,1472.21,"collecteur"
"Star-Oddi DST CT","s11843","Nine Mile Creek 1, PEI",8,"B",8,46.10592,63.22527,2024,6,30,2024-06-30,"05:30:00 AM",14.87,6.14,8.69,1472,"collecteur"
